Cluster ID,Link Score,source file,name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
556,0.67448366,0,fiserv inc,"brookfield,wi,unitedstates",united states,,,, 1984," 44,000",frank j bisignano,68680000000,,technology,information technology services,,,,,,,,,
924,0.674468,0,sberbank of russia pjsc,"moscow,russia",russia,,,,," 287,866",herman oskarovich gref,68690000000,,financials,banks,,,,,,,,,
798,0.67448246,0,ubs group ag,"zurich,switzerland",switzerland,,,, 29 june 1998," 71,385",ralph a j g hamers,68930000000,,financials,banks,,,,,,,,,
1,0.67448515,0,public storage,"glendale,ca,unitedstates",united states,,,, 1972," 5,800",joseph d russell jr,69310000000,,real estate,reitindustrial,,,,,,,,,
416,0.67448395,0,america movil sab de cv,"mexicocity,df,mexico",mexico,,,, 1986," 181,205",daniel hajj aboumrad,69450000000,,communication services,telecom services,,,,,,,,,
264,0.6744843,0,bnp paribas sa,"paris,france",france,,,,," 190,000",jean-laurent bonnafe,69900000000,,financials,banks,,,,,,,,,
704,0.6744832,0,enel spa,"rome,rm,italy",italy,,,,," 66,279",francesco starace,70150000000,,utilities,utilitiesdiversified,,,,,,,,,
245,0.67448443,0,dominion energy inc,"richmond,va,unitedstates",united states,,,," virginia, u.s. 1983"," 17,100",robert m blue,70200000000,,utilities,utilitiesdiversified,,,,,,,,,
768,0.6744829,0,axa sa,"paris,france",france,,,,," 106,128",thomas buberl,70200000000,,financials,insurancediversified,,,,,,,,,
412,0.674484,0,general dynamics corporation,,united states,,,," february 7, 1899"," 103,100",phebe n novakovic,70550000000,,industrials,aerospace & defense,,,,,,,,,
514,0.67448384,0,moderna inc,"cambridge,ma,unitedstates",united states,,,, september 2010," 2,700",stephane bancel,70810000000,,healthcare,biotechnology,,,,,,,,,
244,0.67448443,0,anglo american plc,"london,unitedkingdom",united kingdom,,,, 1917," 106,000",mark cutifani be beng mining fellow ausimm cengfimmm dba,71480000000,,basic materials,other industrial metals & mining,,,,,,,,,
107,0.67448467,0,siemens healthineers ag,"erlangen,germany",germany,,,,," 66,800",bernhard montag,71500000000,,healthcare,diagnostics & research,,,,,,,,,
262,0.6744844,0,eog resources inc,"houston,tx,unitedstates",united states,,,, 1999," 2,800",ezra y yacob,71900000000,,energy,oil & gas e&p,,,,,,,,,
832,0.6744783,0,pt bank central asia tbk,"jakarta,indonesia",indonesia,,,,," 25,370",,71910000000,,financials,banks,,,,,,,,,
948,0.6744644,0,wal-mart de mexico sab de cv,"mexicocity,df,mexico",mexico,,,,," 231,259",guilherme de souza macedo loureiro,71960000000,,consumer staples,discount stores,,,,,,,,,
243,0.67448443,0,freeport-mcmoran inc,"phoenix,az,unitedstates",united states,,,, 1912," 24,700",richard c adkerson,72160000000,,basic materials,copper,,,,,,,,,
411,0.674484,0,norfolk southern corporation,"norfolk,va,unitedstates",united states,,,," july 23, 1980 in norfolk, virginia, united states"," 18,100",james a squires,72310000000,,industrials,railroads,,,,,,,,,
732,0.67448306,0,kddi corp,"tokyo,japan",japan,,,,," 47,320",,73120000000,,communication services,telecom services,,,,,,,,,
410,0.674484,0,northrop grumman corporation,"fallschurch,va,unitedstates",united states,,,, 1994," 88,000",kathy j warden,73250000000,,industrials,aerospace & defense,,,,,,,,,
783,0.67448276,0,aon plc,"london,unitedkingdom",united kingdom,,,, 1982," 50,000",gregory clarence case,73330000000,,financials,insurance brokers,,,,,,,,,
905,0.67447096,0,bayerische motoren werke ag,"munich,germany",germany,,,,," 118,909",oliver zipse,56170000000,,consumer discretionary,auto manufacturers,,,,,,,,,
204,0.6744845,0,bank of communications co ltd,"shanghai,china",china,,,,," 90,238",,56380000000,,financials,banks,,,,,,,,,
