name,headquarters,country,address,founded,employees,ceo,founders,market_cap,share_price,categories,sector,link,type
cushman & wakefield,,usa,,,,,,3120000000.0,13.0,,,,
moelis & company,,usa,,,,,,3100000000.0,45.0,financial-services ,,,
phoenix mills,,india,,,,,,3100000000.0,17.0,real-estate ,,,
st galler kantonalbank,,switzerland,,,,,,3120000000.0,522.0,banks financial-services ,,,
plexus,,usa,,,,,,3120000000.0,113.0,,,,
euronav,,belgium,,,,,,3110000000.0,15.0,transportation ,,,
mister car wash,,usa,,,,,,3110000000.0,10.0,,,,
pegasystems,,usa,,,,,,3130000000.0,38.0,software tech ,,,
stoneco,,brazil,,,,,,3130000000.0,10.0,financial-services ,,,
chindata,,china,,,,,,3140000000.0,8.0,it-services tech ,,,
evolent health,,usa,,,,,,3130000000.0,31.0,healthcare ,,,
plains gp,,usa,,,,,,3130000000.0,13.0,oil-gas energy ,,,
sig semen indonesia,,indonesia,,,,,,3140000000.0,0.0,cement building-materials ,,,
3m india,,india,,,,,,3130000000.0,278.0,glove-ppe ,,,
asana,,usa,,,,,,3150000000.0,14.0,software tech ,,,
hannon armstrong,,usa,,,,,,3140000000.0,35.0,,,,
cooper group,,usa,,,,,,3150000000.0,44.0,,,,
cathay general bancorp,,usa,,,,,,3130000000.0,42.0,,,,
braze,,usa,,,,,,3130000000.0,32.0,software tech ,,,
tata chemicals,,india,,,,,,3130000000.0,12.0,chemicals ,,,
strauss group,,israel,,,,,,3140000000.0,26.0,food ,,,
sigma lithium,,canada,,,,,,3140000000.0,30.0,mining ,,,
equitrans midstream,,usa,,,,,,3140000000.0,7.0,,,,
stepan company,,usa,,,,,,2480000000.0,111.0,,,,
globalstar,,usa,,,,,,2500000000.0,1.0,telecommunication aerospace ,,,
casio,,japan,,,,,,2490000000.0,10.0,electronics manufacturing ,,,
qinetiq,,united-kingdom,,,,,,2470000000.0,4.0,defense-contractors ,,,
engagesmart,,usa,,,,,,3150000000.0,19.0,software tech ,,,
encavis,,germany,,,,,,3150000000.0,19.0,renewable-energy energy electricity ,,,
jumbo sa,,,,,,,,2500000000.0,17.0,retail ,,,
ihs towers,,united-kingdom,,,,,,2490000000.0,7.0,telecommunication infrastructure ,,,
softwareone,,switzerland,,,,,,2490000000.0,15.0,software tech ,,,
galapagos nv,,belgium,,,,,,3150000000.0,47.0,pharmaceuticals biotech ,,,
jamf,,usa,,,,,,2490000000.0,20.0,software tech ,,,
amylyx pharmaceuticals,,usa,,,,,,2480000000.0,37.0,pharmaceuticals biotech ,,,
beach energy,,australia,,,,,,2490000000.0,1.0,oil-gas energy ,,,
netlink trust,,singapore,,,,,,2500000000.0,0.0,telecommunication ,,,
carter's,,usa,,,,,,3150000000.0,82.0,clothing retail ,,,
sats,,singapore,,,,,,2490000000.0,2.0,food ,,,
piper sandler,,usa,,,,,,2520000000.0,141.0,banks financial-services investment ,,,
compagnie plastic omnium,,france,,,,,,2510000000.0,17.0,automotive-suppliers manufacturing ,,,
pagerduty,,usa,,,,,,2510000000.0,27.0,,,,
win semiconductors,,taiwan,,,,,,2520000000.0,5.0,semiconductors manufacturing tech tech-hardware ,,,
bata india,,india,,,,,,2520000000.0,19.0,footwear ,,,
corcept therapeutics,,usa,,,,,,2520000000.0,23.0,pharmaceuticals biotech ,,,
renew power,,india,,,,,,2510000000.0,6.0,utility-companies renewable-energy energy ,,,
opc energy,,israel,,,,,,2500000000.0,11.0,electricity energy ,,,
revolution medicines,,usa,,,,,,2530000000.0,28.0,,,,
ssp group,,united-kingdom,,,,,,2520000000.0,3.0,restaurant-chains food ,,,
independent bank group,,usa,,,,,,2510000000.0,61.0,banks financial-services ,,,
banco macro,,,,,,,,2520000000.0,22.0,,,,
outokumpu,,finland,,,,,,2520000000.0,5.0,,,,
apollo tyres,,india,,,,,,2520000000.0,3.0,tires ,,,
duck creek technologies,,usa,,,,,,2530000000.0,19.0,software tech ,,,
inficon,,switzerland,,,,,,2530000000.0,1.0,scientific-and-technical-instruments ,,,
baytex energy,,canada,,,,,,2540000000.0,4.0,oil-gas energy ,,,
relay therapeutics,,usa,,,,,,2530000000.0,21.0,pharmaceuticals biotech ,,,
red rock resorts,,usa,,,,,,2550000000.0,44.0,,,,
uniqa insurance group,,,,,,,,2530000000.0,8.0,insurance ,,,
st joe company,,usa,,,,,,2550000000.0,43.0,real-estate ,,,
swissquote,,switzerland,,,,,,2530000000.0,169.0,,,,
dana,,usa,,,,,,2550000000.0,17.0,,,,
viavi solutions,,usa,,,,,,2550000000.0,11.0,,,,
keppel reit,,singapore,,,,,,2540000000.0,0.0,reit real-estate investment ,,,
cembra money bank,,switzerland,,,,,,2530000000.0,84.0,banks financial-services ,,,
tohoku electric power,,japan,,,,,,2550000000.0,5.0,electricity utility-companies energy ,,,
vivint smart home,,usa,,,,,,2550000000.0,11.0,tech smart-home ,,,
lgi homes,,usa,,,,,,2530000000.0,108.0,construction ,,,
millicom,,,,,,,,2550000000.0,14.0,media-press telecommunication ,,,
commvault,,usa,,,,,,2540000000.0,57.0,,,,
compania cervecerias unidas,,chile,,,,,,2540000000.0,13.0,beverages alcoholic-beverages ,,,
dream industrial reit,,canada,,,,,,2560000000.0,10.0,real-estate investment reit ,,,
kadokawa,,japan,,,,,,2560000000.0,18.0,media-press video-games entertainment ,,,
new india assurance,,india,,,,,,2560000000.0,1.0,insurance ,,,
boral,,australia,,,,,,2570000000.0,2.0,building-materials cement ,,,
fletcher building,,new-zealand,,,,,,2570000000.0,3.0,construction ,,,
kingnet network,,china,,,,,,2560000000.0,1.0,video-games entertainment ,,,
balfour beatty,,united-kingdom,,,,,,2550000000.0,4.0,infrastructure construction ,,,
zain saudi arabia,,saudi-arabia,,,,,,2560000000.0,2.0,telecommunication ,,,
wh smith,,united-kingdom,,,,,,2550000000.0,19.0,retail ,,,
tronox,,usa,,,,,,2560000000.0,16.0,chemicals ,,,
dixon technologies,,india,,,,,,2570000000.0,43.0,electronics ,,,
brady,,usa,,,,,,2560000000.0,51.0,manufacturing ,,,
otter tail,,usa,,,,,,2560000000.0,61.0,utility-companies electricity energy ,,,
tianjin faw,,china,,,,,,2580000000.0,0.0,automotive-suppliers ,,,
sunnova,,usa,,,,,,2580000000.0,22.0,renewable-energy energy electricity ,,,
callon petroleum,,usa,,,,,,2560000000.0,41.0,oil-gas energy ,,,
aarti industries,,india,,,,,,2580000000.0,7.0,chemicals ,,,
myovant sciences,,united-kingdom,,,,,,2600000000.0,26.0,,,,
lightspeed pos,,canada,,,,,,2590000000.0,17.0,e-commerce software tech ,,,
kontoor brands,,usa,,,,,,2580000000.0,46.0,clothing ,,,
voltalia,,france,,,,,,2600000000.0,19.0,electricity energy ,,,
omnicell,,usa,,,,,,2600000000.0,58.0,software tech healthcare ,,,
urban outfitters,,usa,,,,,,2580000000.0,28.0,clothing retail ,,,
mallplaza,,chile,,,,,,2600000000.0,1.0,real-estate ,,,
mirati therapeutics,,usa,,,,,,2590000000.0,45.0,,,,
transalta,,canada,,,,,,2580000000.0,9.0,energy electricity ,,,
kunlun tech,,china,,,,,,2590000000.0,2.0,video-games entertainment ,,,
international distributions services royal mail,,united-kingdom,,,,,,2590000000.0,2.0,delivery-services ,,,
champion reit,,hong-kong,,,,,,2600000000.0,0.0,real-estate investment reit ,,,
siltronic,,germany,,,,,,2600000000.0,86.0,,,,
perficient,,usa,,,,,,2600000000.0,75.0,professional-services ,,,
mge energy,,usa,,,,,,2600000000.0,71.0,,,,
bayer crop science,,india,,,,,,2600000000.0,58.0,chemicals agriculture ,,,
arch resources,,usa,,,,,,2600000000.0,144.0,mining coal-mining ,,,
steve madden,,usa,,,,,,2620000000.0,33.0,,,,
nova measuring instruments,,israel,,,,,,2620000000.0,91.0,semiconductors tech tech-hardware ,,,
xerox,,usa,,,,,,2620000000.0,16.0,tech tech-hardware electronics ,,,
vermilion energy,,canada,,,,,,2600000000.0,15.0,oil-gas energy ,,,
resideo technologies,,usa,,,,,,2620000000.0,17.0,,,,
mdc holdings,,usa,,,,,,2610000000.0,36.0,,,,
multiplan empreendimentos imobiliarios,,brazil,,,,,,2610000000.0,4.0,real-estate ,,,
also holding,,switzerland,,,,,,2610000000.0,203.0,,,,
cno financial group,,usa,,,,,,2620000000.0,22.0,,,,
fulton financial,,usa,,,,,,2610000000.0,15.0,banks financial-services ,,,
extreme networks,,usa,,,,,,2610000000.0,19.0,telecommunications-equipment ,,,
travis perkins,,united-kingdom,,,,,,2620000000.0,12.0,retail building-materials ,,,
insmed,,usa,,,,,,2620000000.0,19.0,,,,
aag,,,,,,,,2610000000.0,10.0,electronics ,,,
teamviewer,,germany,,,,,,2630000000.0,14.0,tech internet software ,,,
leslie's,,usa,,,,,,2620000000.0,14.0,,,,
punjab & sind bank,,india,,,,,,2620000000.0,0.0,banks financial-services ,,,
spin master,,canada,,,,,,2630000000.0,25.0,toys entertainment video-games ,,,
joyy,,china,,,,,,2630000000.0,37.0,,,,
alarmcom,,usa,,,,,,2640000000.0,52.0,,,,
trigano,,france,,,,,,2630000000.0,138.0,specialty-vehicles manufacturing ,,,
rand merchant investment,,south-africa,,,,,,2630000000.0,1.0,financial-services investment ,,,
energizer holdings,,usa,,,,,,2640000000.0,37.0,,,,
pan ocean,,south-korea,,,,,,2630000000.0,4.0,maritime-transportation container-shipping transportation ,,,
sage therapeutics,,usa,,,,,,2630000000.0,44.0,,,,
itron,,usa,,,,,,2630000000.0,58.0,,,,
ebro foods,,spain,,,,,,2640000000.0,17.0,food ,,,
fortis healthcare,,india,,,,,,2630000000.0,3.0,healthcare ,,,
lundin gold,,canada,,,,,,2630000000.0,11.0,mining gold-mining ,,,
