name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
ingram micro,,usa,,,,,"26,037",,,,,,,,,,,,,,
vanguard group,,usa,,,,,"18,800",,,,,,,,,,,,,,
conocophillips company,,usa,,,,,"10,100",ryan lance,,,,,,,,,,,,,
jdcom,,china,,,,,"314,906",liu qiangdong,,,,,,,,,,,,,
micron technology,,usa,,,,,"43,000",sanjay mehrotra,,,,,,,,,,,,,
anthem,,usa,,,,,"63,900",gail koziara boudreaux,,,,,,,,,,,,,
airbnb,,usa,,,,,"6,132",brian chesky,,,,,,,,,,,,,
airbus,,netherlands,,,,,"125,888",guillaume faury,,,,,,,,,,,,,
koch industries,,usa,,,,,"122,000",,,,,,,,,,,,,,
bytedance,,china,,,,,"60,000",,,,,,,,,,,,,,
sea limited,,singapore,,,,,"33,800",forrest li,,,,,,,,,,,,,
3m company,,usa,,,,,"95,000",mike roman,,,,,,,,,,,,,
allianz se,,germany,,,,,"150,269",oliver bate,,,,,,,,,,,,,
infosys,,india,,,,,"345,218",salil parekh,,,,,,,,,,,,,
merck kgaa on,,germany,,,,,"58,408",belen garijo,,,,,,,,,,,,,
nippon telegraph and telephone corporation,,japan,,,,,"303,350",jun sawada,,,,,,,,,,,,,
ntt docomo,,japan,,,,,"27,558",motoyuki ii,,,,,,,,,,,,,
kering,,france,,,,,"38,553",francois-henri pinault,,,,,,,,,,,,,
automatic data processing adp,,usa,,,,,"56,000",carlos a rodriguez,,,,,,,,,,,,,
booking holdings,,usa,,,,,"19,400",glenn d fogel,,,,,,,,,,,,,
zoetis,,usa,,,,,"12,100",juan ramon alaix,,,,,,,,,,,,,
stryker corporation,,usa,,,,,"43,000",kevin a lobo,,,,,,,,,,,,,
lockheed martin corporation,,usa,,,,,"114,000",james d taiclet,,,,,,,,,,,,,
inditex industria de diseno textil,,spain,,,,,"144,116",pablo isla,,,,,,,,,,,,,
ford motor company,,usa,,,,,"183,000",jim farley,,,,,,,,,,,,,
bp plc,,uk,,,,,"60,000",bernard looney,,,,,,,,,,,,,
csl,,australia,,,,,"25,000",paul perreault,,,,,,,,,,,,,
al rajhi banking and investment corporation,,saudi arabia,,,,,"13,716",waleed a al-mogbel,,,,,,,,,,,,,
robert bosch,,germany,,,,,"400,000",,,,,,,,,,,,,,
the pnc financial services group,,usa,,,,,"59,426",william s demchak,,,,,,,,,,,,,
saudi basic industries corporation sabic,,saudi arabia,,,,,"32,721",yousef al-benyan,,,,,,,,,,,,,
lam research corporation,,usa,,,,,"14,100",timothy m archer,,,,,,,,,,,,,
mondelez international,,usa,,,,,"79,000",dirk van de put,,,,,,,,,,,,,
byd company,,china,,,,,"224,300",,,,,,,,,,,,,,
deutsche telekom ag,,germany,,,,,"226,291",timotheus hottges,,,,,,,,,,,,,
snowflake,,usa,,,,,"2,495",frank slootman,,,,,,,,,,,,,
altria group,,usa,,,,,"6,000",billy gifford,,,,,,,,,,,,,
audi ag,,germany,,,,,"90,640",markus duesmann,,,,,,,,,,,,,
deloitte,,uk,,,,,"300,000",anders dons,,,,,,,,,,,,,
bnp paribas,,france,,,,,"190,000",jean-laurent bonnafe,,,,,,,,,,,,,
us bancorp,,usa,,,,,"68,796",andrew cecere,,,,,,,,,,,,,
general motors company,,usa,,,,,"157,000",mary barra,,,,,,,,,,,,,
cargill,,usa,,,,,"155,000",,,,,,,,,,,,,,
recruit holdings,,japan,,,,,"49,370",hisayuki idekoba,,,,,,,,,,,,,
brookfield asset management,,canada,,,,,"152,000",bruce flatt,,,,,,,,,,,,,
equinor asa,,norway,,,,,"21,245",anders opedal,,,,,,,,,,,,,
british american tobacco,,uk,,,,,"55,000",jack bowles,,,,,,,,,,,,,
mercedec benz group ag,,germany,,,,,"288,481",ola kallenius,,,,,,,,,,,,,
gilead sciences,,usa,,,,,"14,400",daniel o'day,,,,,,,,,,,,,
essilor luxottica,,france,,,,,"151,017",francesco milleri,,,,,,,,,,,,,
the tjx companies,,usa,,,,,"320,000",ernie herrman,,,,,,,,,,,,,
analog devices,,usa,,,,,"24,700",vincent roche,,,,,,,,,,,,,
bank of nova scotia,,canada,,,,,"89,488",brian j porter,,,,,,,,,,,,,
tokyo electron limited,,japan,,,,,"14,479",toshiki kawai,,,,,,,,,,,,,
canadian national railway company,,canada,,,,,"22,604",tracy robinson,,,,,,,,,,,,,
truist financial corporation,,usa,,,,,"52,641",william h bill rogers jr,,,,,,,,,,,,,
moderna,,usa,,,,,"1,800",stephane bancel,,,,,,,,,,,,,
chubb,,switzerland,,,,,"31,000",evan g greenberg,,,,,,,,,,,,,
j p morgan chase & co,,usa,,,,,"271,025",jamie dimon,,,,,,,,,,,,,
midea group,,china,,,,,"149,239",paul fang,,,,,,,,,,,,,
sherwin-williacompany,,usa,,,,,"61,626",john g morikis,,,,,,,,,,,,,
pricewaterhousecoopers,,uk,,,,,"295,371",,,,,,,,,,,,,,
compagnie financiere richemont sa,,switzerland,,,,,"34,760",jerome lambert,,,,,,,,,,,,,
air liquide,,france,,,,,"67,000",francois jackow,,,,,,,,,,,,,
crown castle international corporation,,usa,,,,,"5,000",jay a brown,,,,,,,,,,,,,
sberbank of russia,,russia,,,,,"285,555",herman gref,,,,,,,,,,,,,
csx corporation,,usa,,,,,"20,919",james m foote,,,,,,,,,,,,,
blackstone group,,usa,,,,,"3,795",stephen a schwarzman,,,,,,,,,,,,,
allergan,,ireland,,,,,"17,400",brenton l saunders,,,,,,,,,,,,,
marsh & mclennan companies,,usa,,,,,"81,000",daniel s glaser,,,,,,,,,,,,,
publix,,usa,,,,,"232,000",,,,,,,,,,,,,,
enbridge,,canada,,,,,"11,200",al monaco,,,,,,,,,,,,,
softbank group,,japan,,,,,"58,786",masayoshi son,,,,,,,,,,,,,
siemens healthineers ag,,germany,,,,,"52,000",bernd montag,,,,,,,,,,,,,
cme group,,usa,,,,,"4,370",terrence a duffy,,,,,,,,,,,,,
uber technologies,,usa,,,,,"29,300",dara khosrowshahi,,,,,,,,,,,,,
duke energy corporation,,usa,,,,,"27,605",lynn good,,,,,,,,,,,,,
national commercial bank,,saudi arabia,,,,,"13,334",faisal omar al-sakkaf,,,,,,,,,,,,,
life insurance corporation of india,,india,,,,,"114,000",,,,,,,,,,,,,,
enel,,italy,,,,,"66,438",francesco starace,,,,,,,,,,,,,
psbc postal savings bank of china,,china,,,,,"194,527",lv jiajin,,,,,,,,,,,,,
china yangtze power,,china,,,,,"4,077",lei mingshan,,,,,,,,,,,,,
mitsubishi ufj financial group,,japan,,,,,"132,700",hironori kamezawa,,,,,,,,,,,,,
deutsche post ag,,germany,,,,,"571,974",frank appel,,,,,,,,,,,,,
reliance jio,,india,,,,,,,,,,,,,,,,,,,
hca healthcare,,usa,,,,,"235,000",samuel n hazen,,,,,,,,,,,,,
atlas copco ab,,sweden,,,,,"40,000",mats rahmstrom,,,,,,,,,,,,,
china petroleum & chemical corporation sinopec,,china,,,,,"384,065",,,,,,,,,,,,,,
investor ab publ,,sweden,,,,,"20,054",johan forssell,,,,,,,,,,,,,
cigna corporation,,usa,,,,,"73,800",david cordani,,,,,,,,,,,,,
illinois tool works,,usa,,,,,"45,000",ernest scott santi,,,,,,,,,,,,,
atlassian corporation,,australia,,,,,"6,433",mike cannon-brookes,,,,,,,,,,,,,
edwards lifesciences corporation,,usa,,,,,"15,700",michael a mussallem,,,,,,,,,,,,,
hindustan unilever,,india,,,,,"21,000",sanjiv mehta,,,,,,,,,,,,,
rivian automotive inc,,usa,,,,,"7,000",rj scaringe,,,,,,,,,,,,,
abb,,switzerland,,,,,"105,000",bjorn rosengren,,,,,,,,,,,,,
rosneft oil company,,russia,,,,,"315,000",igor sechin,,,,,,,,,,,,,
adyen,,netherlands,,,,,"1,750",pieter van der,,,,,,,,,,,,,
intercontinental exchange,,usa,,,,,"8,858",jeffrey c sprecher,,,,,,,,,,,,,
axa,,france,,,,,"96,595",thomas buberl,,,,,,,,,,,,,
bank of montreal,,canada,,,,,"43,863",darryl white,,,,,,,,,,,,,
icici bank,,india,,,,,"130,170",sandeep bakhshi,,,,,,,,,,,,,
hong kong exchanges and clearing hkex,,hong kong,,,,,"2,372",nicolas aguzin,,,,,,,,,,,,,
hangzhou hikvision digital technology,,china,,,,,"42,685",hongjia gong,,,,,,,,,,,,,
sk hynix,,south korea,,,,,"29,008",lee seok-hee,,,,,,,,,,,,,
the southern company,,usa,,,,,"27,300",thomas a fanning,,,,,,,,,,,,,
becton dickinson and company,,usa,,,,,"75,000",thomas polen,,,,,,,,,,,,,
norfolk southern corporation,,usa,,,,,"18,100",james a squires,,,,,,,,,,,,,
foshan haitian flavouring and food company,,china,,,,,"6,058",pang kang,,,,,,,,,,,,,
iberdrola,,spain,,,,,"45,000",jose ignacio sanchez galan,,,,,,,,,,,,,
fiserv,,usa,,,,,"44,000",frank bisignano,,,,,,,,,,,,,
vale sa,,brazil,,,,,"74,316",eduardo bartolomeo,,,,,,,,,,,,,
