name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
banca nazionale del lavoro spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"viale altiero spinelli 30, roma, 00157, roma, italy",corporation
fastweb spa,,,,,,,,,,,,"transportation, communications, electric, gas, and sanitary services",,,,,,,,"via francesco caracciolo 51, milano, 20155, milano, italy",corporation
finbre spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"viale del lavoro 20, belfiore, 37050, verona, italy",corporation
maxi di srl,,,,,,,,,,,,retail trade,,,,,,,,"viale del lavoro 20, belfiore, 37050, verona, italy",corporation
swisscom italia srl,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"piazza adriano olivetti 1, milano, 20139, milano, italy",corporation
zurich investments life spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via benigno crespi 23, milano, 20159, milano, italy",corporation
arca vita spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via del fante 21, verona, 37122, verona, italy",corporation
agricola tre valli societa' cooperativa,,,,,,,,,,,,manufacturing,,,,,,,,"via valpantena 18/g, verona, 37142, verona, italy",corporation
conad consorzio nazionale dettaglianti soc coop,,,,,,,,,,,,wholesale trade,,,,,,,,"via michelino 59, bologna, 40127, bologna, italy",corporation
sesa spa,,,,,,,,,,,,services,,,,,,,,"via della piovola 138, empoli, 50053, firenze, italy",corporation
terna rete elettrica nazionale spa,,,,,,,,,,,,"transportation, communications, electric, gas, and sanitary services",,,,,,,,"viale egidio galbani 70, roma, 00156, roma, italy",corporation
moncler spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via enrico stendhal 47, milano, 20144, milano, italy",corporation
michelin italiana sami spa,,,,,,,,,,,,manufacturing,,,,,,,,"corso giulio cesare 424/95/c, torino, 10156, torino, italy",corporation
brt spa,,,,,,,,,,,,"transportation, communications, electric, gas, and sanitary services",,,,,,,,"via enrico mattei 42, bologna, 40138, bologna, italy",corporation
de' longhi appliances srl,,,,,,,,,,,,manufacturing,,,,,,,,"via lodovico seitz 47, treviso, 31100, treviso, italy",corporation
ford italia spa,,,,,,,,,,,,retail trade,,,,,,,,"via del serafico 89, roma, 00142, roma, italy",corporation
sofida spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"contrada della misericordia 14, vicenza, 36100, vicenza, italy",corporation
arianna 2001 spa,,,,,,,,,,,,services,,,,,,,,"via leopoldo serra 32, roma, 00153, roma, italy",corporation
recordati industria chimica e farmaceutica spa,,,,,,,,,,,,manufacturing,,,,,,,,"via matteo civitali 1, milano, 20148, milano, italy",corporation
leroy merlin italia srl,,,,,,,,,,,,retail trade,,,,,,,,"strada 8 palazzo n milanofiori, rozzano, 20089, milano, italy",corporation
vittoria assicurazioni spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via ignazio gardella 2, milano, 20149, milano, italy",corporation
vanini holding srl,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via ansperto 7, milano, 20123, milano, italy",corporation
fedrigoni spa,,,,,,,,,,,,manufacturing,,,,,,,,"via enrico fermi 13/f, verona, 37135, verona, italy",corporation
gruppo ipg holding spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"viale bianca maria 24, milano, 20129, milano, italy",corporation
bg holding srl,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via borgonuovo 14, milano, 20121, milano, italy",corporation
burgo group spa,,,,,,,,,,,,manufacturing,,,,,,,,"via piave 1, altavilla vicentina, 36077, vicenza, italy",corporation
gruppo lactalis italia srl,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via flavio gioia 8, milano, 20149, milano, italy",corporation
megaholding srl,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"strada provinciale 130 andria-trani, trani, 76125, barletta andria trani, italy",corporation
betflag spa,,,,,,,,,,,,services,,,,,,,,"zona industriale di baragiano snc, balvano, 85050, potenza, italy",corporation
computer gross spa,,,,,,,,,,,,wholesale trade,,,,,,,,"via del pino 1, empoli, 50053, firenze, italy",corporation
publitalia 80 concessionaria pubblicita' spa,,,,,,,,,,,,services,,,,,,,,"viale europa 46, cologno monzese, 20093, milano, italy",corporation
papiniano spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via guglielmo marconi 36, bologna, 40122, bologna, italy",corporation
