name,headquarters,country,continent,region,founded,employees,ceo,market_cap,categories,sector,revenue,link,share_price,founders,address,type
securitas direct,malmo,,,,1988,,,,,business support services,,,,,,
semcon,gothenburg,,,,1980,,,,,business support services,,,,,,
sf studios,stockholm,,,,1919,,,,,broadcasting & entertainment,,,,,,
siba,gothenburg,,,,1951,,,,,specialty retailers,,,,,,
silva compass,stockholm,,,,1932,,,,,recreational products,,,,,,
simogo,malmo,,,,2010,,,,,software,,,,,,
sj ab,stockholm,,,,2001,,,,,travel & tourism,,,,,,
skandia,stockholm,,,,1855,,,,,investment services,,,,,,
skandinaviska banken,gothenburg,,,,1864,,,,,banks,,,,,,
skanska,stockholm,,,,1887,,,,,heavy construction,,,,,,
skelleftea kraft,skelleftea,,,,1906,,,,,conventional electricity,,,,,,
skf,gothenburg,,,,1907,,,,,industrial suppliers,,,,,,
skygoblin,gothenburg,,,,2005,,,,,software,,,,,,
smart eye,gothenburg,,,,1999,,,,,software,,,,,,
sodra,vaxjo,,,,1938,,,,,paper,,,,,,
specma,gothenburg,,,,1918,,,,,industrial engineering,,,,,,
spendrups,stockholm,,,,1897,,,,,brewers,,,,,,
spotify,stockholm,,,,2006,,,,,internet,,,,,,
sr international  radio sweden,stockholm,,,,1938,,,,,broadcasting & entertainment,,,,,,
ssab,stockholm,,,,1978,,,,,iron & steel,,,,,,
starbreeze studios,stockholm,,,,1998,,,,,software,,,,,,
stena line,gothenburg,,,,1962,,,,,travel & tourism,,,,,,
stena sphere,gothenburg,,,,1939,,,,,-,,,,,,
stiga,eskilstuna,,,,1934,,,,,durable household products,,,,,,
stockholm stock exchange,stockholm,,,,1863,,,,,investment services,,,,,,
stockholenskilda bank,stockholm,,,,1856,,,,,banks,,,,,,
studsvik,nykoping,,,,1947,,,,,conventional electricity,,,,,,
sveriges television,stockholm,,,,1956,,,,,broadcasting & entertainment,,,,,,
sweco,stockholm,,,,1997,,,,,business support services,,,,,,
swedbank,stockholm,,,,1820,,,,,banks,,,,,,
swedish match,stockholm,,,,1915,,,,,tobacco,,,,,,
swedish meats,stockholm,,,,,,,,,meat,,,,,,
swedish orphan biovitrum,stockholm,,,,2001,,,,,health care providers,,,,,,
swedish space corporation,solna,,,,1972,,,,,aerospace,,,,,,
swegon,gothenburg,,,,2005,,,,,industrial machinery,,,,,,
symsoft,stockholm,,,,1989,,,,,mobile telecommunications,,,,,,
syncron international ab,stockholm,,,,1990,,,,,software,,,,,,
tarsier studios,malmo,,,,2004,,,,,software,,,,,,
tele2,stockholm,,,,1993,,,,,fixed line telecommunications,,,,,,
telelogic,malmo,,,,1983,,,,,software,,,,,,
telia company,stockholm,,,,2003,,,,,mobile telecommunications,,,,,,
teracom,stockholm,,,,1992,,,,,broadcasting & entertainment,,,,,,
terranet ab,lund,,,,2004,,,,,mobile telecommunications,,,,,,
tetra pak,lund,,,,1951,,,,,containers & packaging,,,,,,
thule group,hillerstorp,,,,1942,,,,,automobiles,,,,,,
tradedoubler,stockholm,,,,1999,,,,,internet,,,,,,
transmode,stockholm,,,,2000,,,,,fixed line telecommunications,,,,,,
trelleborg,trelleborg,,,,1905,,,,,business support services,,,,,,
truecaller,stockholm,,,,2009,,,,,software,,,,,,
trustly,stockholm,,,,2008,,,,,banks,,,,,,
tv4 group,stockholm,,,,1984,,,,,broadcasting & entertainment,,,,,,
uddeholab,hagfors,,,,1668,,,,,iron & steel,,,,,,
umea energi,umea,,,,1887,,,,,conventional electricity,,,,,,
urbanears,stockholm,,,,2009,,,,,recreational products,,,,,,
v&s group,stockholm,,,,1917,,,,,soft drinks,,,,,,
vabis,sodertalje,,,,1891,,,,,diversified industrials,,,,,,
vattenfall,stockholm,,,,1909,,,,,conventional electricity,,,,,,
vida ab,alvesta,,,,1969,,,,,forestry,,,,,,
volvo,gothenburg,,,,1927,,,,,commercial vehicles & trucks,,,,,,
volvo buses,gothenburg,,,,1968,,,,,commercial vehicles & trucks,,,,,,
volvo financial services,gothenburg,,,,2001,,,,,investment services,,,,,,
volvo penta,skovde,,,,1907,,,,,auto parts,,,,,,
volvo trucks,gothenburg,,,,1928,,,,,commercial vehicles & trucks,,,,,,
vsm group,huskvarna,,,,1872,,,,,durable household products,,,,,,
wallenius lines,stockholm,,,,1934,,,,,marine transportation,,,,,,
wasabrod,skelleftea,,,,1919,,,,,food products,,,,,,
wayne's coffee,stockholm,,,,1994,,,,,restaurants & bars,,,,,,
wesc,stockholm,,,,1999,,,,,clothing & accessories,,,,,,
wg film,malmo,,,,1994,,,,,broadcasting & entertainment,,,,,,
wm-data,stockholm,,,,1969,,,,,software,,,,,,
x5 music group,stockholm,,,,2003,,,,,broadcasting & entertainment,,,,,,
3scale,barcelona,,,,2007,,,,,software,,,,,,
abengoa,seville,,,,1941,,,,,-,,,,,,
abertis,barcelona,,,,2003,,,,,-,,,,,,
acciona,alcobendas,,,,1997,,,,,heavy construction,,,,,,
acerinox,madrid,,,,1970,,,,,iron & steel,,,,,,
acs group,madrid,,,,1997,,,,,heavy construction,,,,,,
afinsa,madrid,,,,1980,,,,,specialty retailers,,,,,,
akamon entertainment,barcelona,,,,2011,,,,,software,,,,,,
almirall,barcelona,,,,1943,,,,,pharmaceuticals,,,,,,
amadeus it group,madrid,,,,1987,,,,,software,,,,,,
astilleros y talleres del noroeste,fene,,,,1944,,,,,shipbuilding,,,,,,
atresmedia,san sebastian de los reyes,,,,1988,,,,,broadcasting & entertainment,,,,,,
balay,zaragoza,,,,1947,,,,,durable household products,,,,,,
banco bilbao vizcaya argentaria,bilbao,,,,1857,,,,,banks,,,,,,
banco popular espanol,madrid,,,,1926,,,,,banks,,,,,,
banco sabadell,sabadell,,,,1881,,,,,banks,,,,,,
banco santander,santander,,,,1857,,,,,banks,,,,,,
banesto,madrid,,,,1902,,,,,banks,,,,,,
bankinter,madrid,,,,1965,,,,,banks,,,,,,
bassols 1790,vic,,,,1790,,,,,textiles,,,,,,
bolsas y mercados espanoles,madrid,,,,1831,,,,,banks,,,,,,
brb internacional,alcobendas,,,,1972,,,,,broadcasting & entertainment,,,,,,
budgetplaces,barcelona,,,,2003,,,,,travel & tourism,,,,,,
calidad pascual,madrid,,,,1969,,,,,food & beverage,,,,,,
catuav,moia,,,,2007,,,,,aerospace,,,,,,
chupa chups,barcelona,,,,1958,,,,,food products,,,,,,
cie automotive,bilbao,,,,2002,,,,,auto parts,,,,,,
cintra,madrid,,,,1998,,,,,heavy construction,,,,,,
cepsa,madrid,,,,1929,,,,,exploration & production,,,,,,
compania logistica de hidrocarburos,madrid,,,,1927,,,,,oil & gas distribution,,,,,,
construcciones aeronauticas sa,madrid,,,,1923,,,,,aerospace,,,,,,
construcciones y auxiliar de ferrocarriles,beasain,,,,1917,,,,,commercial vehicles & trucks,,,,,,
copisa,barcelona,,,,1959,,,,,heavy construction,,,,,,
correos,madrid,,,,1716,,,,,delivery services,,,,,,
cortefiel,madrid,,,,1880,,,,,apparel retailers,,,,,,
cupra,martorell,,,,2018,,,,,automobiles,,,,,,
curaxys,cadiz,,,,2009,,,,,biotechnology,,,,,,
deoleo,cordoba,,,,1955,,,,,food products,,,,,,
dia,las rozas,,,,1979,,,,,food retailers & wholesalers,,,,,,
ebro foods,madrid,,,,1998,,,,,food products,,,,,,
ebro trucks,barcelona,,,,1954,,,,,automobiles,,,,,,
el corte ingles,madrid,,,,1940,,,,,food retailers & wholesalers,,,,,,
enagas,madrid,,,,1972,,,,,oil & gas distribution,,,,,,
endesa,madrid,,,,1944,,,,,conventional electricity,,,,,,
eroski,elorrio,,,,1969,,,,,food retailers & wholesalers,,,,,,
euskaltel,derio,,,,1995,,,,,fixed line telecommunications,,,,,,
fagor,mondragon,,,,1956,,,,,durable household products,,,,,,
ferrovial,madrid,,,,1952,,,,,heavy construction,,,,,,
festina,barcelona,,,,1902,,,,,clothing & accessories,,,,,,
fierro group,madrid,,,,1961,,,,,-,,,,,,
fomento de construcciones y contratas,barcelona,,,,1900,,,,,heavy construction,,,,,,
gamesa,zamudio,,,,1976,,,,,renewable energy equipment,,,,,,
naturgy,madrid,,,,1991,,,,,oil & gas distribution,,,,,,
gmv innovating solutions,tres cantos,,,,1984,,,,,-,,,,,,
grundig mobile,malaga,,,,2005,,,,,telecommunications equipment,,,,,,
grupo agbar,barcelona,,,,1867,,,,,water,,,,,,
grupo antolin,burgos,,,,1950,,,,,auto parts,,,,,,
grupo calvo,carballo,,,,1940,,,,,food products,,,,,,
grupo gea perona,murcia,,,,1927,,,,,oil & gas distribution,,,,,,
grupo lo monaco,granada,,,,1996,,,,,furnishings,,,,,,
grupo puma,madrid,,,,1985,,,,,building materials & fixtures,,,,,,
hijos de rivera,a coruna,,,,1906,,,,,brewers,,,,,,
hipercor,madrid,,,,1979,,,,,food retailers & wholesalers,,,,,,
iberdrola,bilbao,,,,1992,,,,,conventional electricity,,,,,,
iberia,madrid,,,,1927,,,,,airlines,,,,,,
idilia foods,barcelona,,,,1940,,,,,food products,,,,,,
inditex,arteixo,,,,1985,,,,,apparel retailers,,,,,,
insistemas,madrid,,,,1993,,,,,aerospace,,,,,,
inmobiliaria colonial,madrid,,,,1946,,,,,real estate holding & development,,,,,,
irizar,ormaiztegi,,,,1889,,,,,commercial vehicles & trucks,,,,,,
joma,portillo de toledo,,,,1965,,,,,clothing & accessories,,,,,,
kelme,elche,,,,1977,,,,,apparel retailers,,,,,,
la caixa,valencia,,,,1990,,,,,banks,,,,,,
la casera,madrid,,,,1949,,,,,food retailers & wholesalers,,,,,,
lacasa,zaragoza,,,,1852,,,,,food products,,,,,,
lladro,tavernes blanques,,,,1953,,,,,recreational products,,,,,,
llaollao,murcia,,,,2009,,,,,food products,,,,,,
mahou san miguel,madrid,,,,1890,,,,,brewers,,,,,,
majorica,palma,,,,1890,,,,,clothing & accessories,,,,,,
mango,palau-solita i plegamans,,,,1984,,,,,apparel retailers,,,,,,
mapfre,majadahonda,,,,1933,,,,,full line insurance,,,,,,
marfeel,barcelona,,,,2011,,,,,software,,,,,,
mediaset espana comunicacion,madrid,,,,1989,,,,,broadcasting & entertainment,,,,,,
melia hotels international,palma,,,,1956,,,,,hotels,,,,,,
mercadona,tavernes blanques,,,,1977,,,,,food retailers & wholesalers,,,,,,
mondragon corporation,mondragon,,,,1956,,,,,-,,,,,,
mutua madrilena,madrid,,,,1930,,,,,full line insurance,,,,,,
naipes heraclio fournier,vitoria-gasteiz,,,,1868,,,,,recreational products,,,,,,
natra,valencia,,,,1943,,,,,-,,,,,,
navantia,madrid,,,,2005,,,,,shipbuilding,,,,,,
nh hotel group,madrid,,,,1978,,,,,hotels,,,,,,
nodosa shipyard,bueu,,,,1982,,,,,shipbuilding,,,,,,
