name,headquarters,country,address,founded,employees,ceo,founders,market_cap,share_price,categories,sector,link,type
cognizant,"shenzhen, china  general office  cayman islands  registered office  hong kong  second office ",,,"26 january 1994  28 years ago  1994-01-26  in chennai, tamil nadu, india[1]",,,,,,,,,
colgate-palmolive,park avenue,,,1806  216 years ago  1806 ,,,,,,,,,
comac,park avenue,,,11 may 2008  14 years ago  11 may 2008 ,,,,,,,,,
concentrix,park avenue,,,1983  39 years ago  1983 ,,,,,,,,,
conocophillips,park avenue,,,30 august 2002  20 years ago  2002-08-30   as conocophillips co. [1],,,,,,,,,
copa airlines,panama city,,,21 june 1944,,,,,,,,,
costco,panama city,,,"september 15, 1983  39 years ago  1983-09-15   as costco  seattle, washington, u.s.",,,,,,,,,
coty inc,panama city,,,"1904  118 years ago  1904  in paris, france",,,,,,,,,
creative technology,panama city,,,1 july 1981  41 years ago  1981-07-01 ,,,,,,,,,
credit agricole,panama city,,,5 november 1894  128 years ago  1894-11-05 ,,,,,,,,,
crocs,"broomfield, colorado",,,2002  20 years ago  2002 ,,,,,,,,,
credit suisse,paradeplatz,,,1856  166 years ago  1856 ,,,,,,,,,
cummins,cummins corporate office building,,,1919  103 years ago  1919 ,,,,,,,,,
currys plc,london,,,7 august 2014  8 years ago  2014-08-07 ,,,,,,,,,
cyient,hyderabad,,,1991  31 years ago  1991 ,,,,,,,,,
cyrusone,"dallas, texas",,,july 2000  22 years ago  2000-07 ,,,,,,,,,
d-link,"dallas, texas",,,march 1986  36 years ago  1986-03   as datex systems inc.  1994  as d-link corporation ,,,,,,,,,
dabur,"dallas, texas",,,1884  138 years ago  1884 ,,,,,,,,,
daikin,kita-ku,,,25 october 1924  98 years ago  1924-10-25 ,,,,,,,,,
mercedes-benz group,kita-ku,,,1926  original foundation of daimler-benz  2007  foundation of daimler ag ,,,,,,,,,
dangote group,lagos,,,1981,,,,,,,,,
daihatsu,lagos,,,1 march 1951  71 years ago  1951-03-01 ,,,,,,,,,
da,boulevard haussmann,,,"barcelona, spain  1919  103 years ago  1919  ",,,,,,,,,
dalton maag,boulevard haussmann,,,"london, uk, 1991",,,,,,,,,
joshua darden,boulevard haussmann,,,"london, uk, 1991",,,,,,,,,
decathlon retailer,villeneuve d'ascq,,,1976  46 years ago  1976 ,,,,,,,,,
deepin,villeneuve d'ascq,,,1976  46 years ago  1976 ,,,,,,,,,
dell,villeneuve d'ascq,,,"february 1, 1984  38 years ago  1984-02-01 ",,,,,,,,,
deloitte,london,,,"1845  177 years ago  1845  in london, england",,,,,,,,,
delta air lines,"atlanta, georgia",,,"march 2, 1925  97 years ago  1925-03-02 , as huff daland dusters in macon, georgia",,,,,,,,,
deutsche bank,deutsche bank twin towers,,,10 march 1869  153 years ago  10 march 1869 ,,,,,,,,,
diageo,london,,,1997  25 years ago  1997 ,,,,,,,,,
dine brands,london,,,1958  64 years ago  1958 ,,,,,,,,,
currys plc,london,,,7 august 2014  8 years ago  2014-08-07 ,,,,,,,,,
dow chemical company,"midland, michigan",,,"1897  125 years ago  1897  april 1, 2019  3 years ago  2019-04-01   current iteration ",,,,,,,,,
dollar tree,"burnaby, british columbia",,,"april 27, 1989  33 years ago  april 27, 1989  sumter, south carolina, u.s.",,,,,,,,,
docusign,"burnaby, british columbia",,,2003  19 years ago  2003 ,,,,,,,,,
dole plc,"burnaby, british columbia",,,"june 2, 1851  171 years ago  1851-06-02 [1] kingdom of hawaii",,,,,,,,,
domino's pizza,"ann arbor township, michigan",,,"december 9, 1960  62 years ago  1960-12-09  in ypsilanti, michigan, united states",,,,,,,,,
dude perfect,frisco,,,"march 16, 2009  13 years ago  2009-03-16  texas a&m university college station, texas, u.s.",,,,,,,,,
dupont,"wilmington, delaware",,,"september 1, 2017  5 years ago  2017-09-01   as dowdupont  june 1, 2019  2019-06-01   as dupont ",,,,,,,,,
dxc technology,"wilmington, delaware",,,"april 3, 2017  5 years ago  2017-04-03 ",,,,,,,,,
dyson company,st james power station,,,8 july 1991  31 years ago  1991-07-08   as barleta limited [1],,,,,,,,,
ebay,san jose,,,"september 3, 1995  27 years ago  1995-09-03 ",,,,,,,,,
electronic arts,san jose,,,"may 27, 1982  40 years ago  1982-05-27  in san mateo, california, us",,,,,,,,,
embraer,san jose,,,"august 19, 1969  53 years ago  1969-08-19 ",,,,,,,,,
emerson electric,"ferguson, missouri",,,1890  132 years ago  1890 ,,,,,,,,,
emigre fonts,"ferguson, missouri",,,1984  38 years ago  1984 ,,,,,,,,,
eni,"ferguson, missouri",,,10 february 1953  69 years ago  1953-02-10 ,,,,,,,,,
ericsson,kista,,,"stockholm, sweden  1876  146 years ago  1876  ",,,,,,,,,
the estee lauder companies,general motors building,,,"1946  76 years ago  1946  new york city, new york, u.s.",,,,,,,,,
etisalat by e&,general motors building,,,30 august 1976  46 years ago  1976-08-30 ,,,,,,,,,
eva air,luzhu,,,8 march 1989  33 years ago  1989-03-08 ,,,,,,,,,
evergreen marine corporation,luzhu,,,1968  54 years ago  1968 ,,,,,,,,,
evercore,new york city,,,1995  27 years ago  1995 ,,,,,,,,,
exxonmobil,new york city,,,"august 5, 1882  140 years ago  1882-08-05   as standard oil of new jersey [2]",,,,,,,,,
