name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
conocophillips,,houston,tx,,,30 august 2002,"9,900",ryan m lance,136320000000,"unitedstates, energy, oil&gase&p, unitedstatesenergy, unitedstatesoil&gase&p",,,,,,,,,,,
honeywell,,charlotte,nc,,,1906,"99,000",darius e adamczyk,136479999999,"unitedstates, industrials, specialtyindustrialmachinery, unitedstatesindustrials, unitedstatesspecialtyindustrialmachinery",,,,,,,,,,,
totalenergies,,paris,france,,,28 march 1924,"105,476",patrick pouyanna,124.45 billion,"france, energy, oil&gasintegrated, franceenergy, franceoil&gasintegrated",,,,,,,,,,,
china mobile,,hongkong,hongkong,,,,"449,934",xin dong,hk$1.091 trillion,"hongkong, communicationservices, telecomservices, hongkongcommunicationservices, hongkongtelecomservices",,,,,,,,,,,
hsbc,,london,unitedkingdom,,,first established on 3 march 1865,"219,697",noel paul quinn,106.87 billion,"unitedkingdom, financials, banks, unitedkingdomfinancials, unitedkingdombanks",,,,,,,,,,,
bank of china,,beijing,china,,,,"309,084",,cn898.61 billion,"china, financials, banks, chinafinancials, chinabanks",,,,,,,,,,,
amgen,,thousandoaks,ca,,,"april 8, 1980","24,200",robert a bradway,141720000000,"unitedstates, healthcare, drugmanufacturersgeneral, unitedstateshealthcare, unitedstatesdrugmanufacturersgeneral",,,,,,,,,,,
lowe's,,mooresville,nc,,,"march 25, 1921","300,000",marvin r ellison,143770000000,"unitedstates, consumerdiscretionary, homeimprovementretail, unitedstatesconsumerdiscretionary, unitedstateshomeimprovementretail",,,,,,,,,,,
commbank,,sydney,nsw,,,22 december 1911,"47,532",matthew comyn,a$192.42 billion,"australia, financials, banks, australiafinancials, australiabanks",,,,,,,,,,,
petrochina,,beijing,china,,,5 november 1999,"432,003",,cn919.47 billion,"china, energy, oil&gasintegrated, chinaenergy, chinaoil&gasintegrated",,,,,,,,,,,
td bank,,toronto,on,,,1 february 1955,"90,000",bharat b masrani,c$182.02 billion,"canada, financials, banks, canadafinancials, canadabanks",,,,,,,,,,,
hermes,,paris,france,,,1837,"17,595",,134.84 billion,"france, consumerdiscretionary, luxurygoods, franceconsumerdiscretionary, franceluxurygoods",,,,,,,,,,,
