name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
moderna inc,,,,,,  september 2010,"  2,700",stephane bancel,,,,,,,,,,,,,
general dynamics corporation,,,,,,"  february 7, 1899","  103,100",phebe n novakovic,,,,,,,,,,,,,
axa sa,,,,,,,"  106,128",thomas buberl,,,,,,,,,,,,,
dominion energy inc,,,,,,"  virginia, u.s. 1983","  17,100",robert m blue,,,,,,,,,,,,,
enel spa,,,,,,,"  66,279",francesco starace,,,,,,,,,,,,,
bnp paribas sa,,,,,,,"  190,000",jean-laurent bonnafe,,,,,,,,,,,,,
america movil sab de cv,,,,,,  1986,"  181,205",daniel hajj aboumrad,,,,,,,,,,,,,
public storage,,,,,,  1972,"  5,800",joseph d russell jr,,,,,,,,,,,,,
ubs group ag,,,,,,  29 june 1998,"  71,385",ralph a j g hamers,,,,,,,,,,,,,
sberbank,,,,,,,"  287,866",herman oskarovich gref,,,,,,,,,,,,,
fiserv inc,,,,,,  1984,"  44,000",frank j bisignano,,,,,,,,,,,,,
iberdrola sa,,,,,,,"  38,702",jose ignacio sanchez galan,,,,,,,,,,,,,
recruit holdings co ltd,,,,,,,"  46,800",hisayuki idekoba,,,,,,,,,,,,,
bayer ag,,,,,,,"  95,950",werner baumann,,,,,,,,,,,,,
the sherwin-williacompany,,,,,,"  cleveland, ohio, u.s. 1866","  61,000",john g morikis,,,,,,,,,,,,,
vertex pharmaceuticals incorporated,,,,,,  1989,"  3,900",reshma kewalramani fasn md,,,,,,,,,,,,,
illinois tool works inc,,,,,,  1912,"  45,000",e scott santi,,,,,,,,,,,,,
the progressive corporation,,,,,,"  march 10, 1937","  49,077",susan patricia griffith,,,,,,,,,,,,,
westpac banking corporation,,,,,,,"  40,143",peter francis king fca bec fca,,,,,,,,,,,,,
abb ltd,,,,,,  1988,"  104,400",,,,,,,,,,,,,,
waste management inc,,,,,,"  january 1, 1968","  48,500",james c fish jr,,,,,,,,,,,,,
industrial bank co ltd,,,,,,,"  59,630",,,,,,,,,,,,,,
dbs group holdings ltd,,,,,,,"  33,000",piyush gupta,,,,,,,,,,,,,
icici bank limited,,,,,,  5 january 1994,"  98,750",sandeep bakhshi be,,,,,,,,,,,,,
equinix inc reit,,,,,,  1998,"  10,944",charles j meyers,,,,,,,,,,,,,
newmont corporation,,,,,,  1921,"  14,400",thomas ronald palmer,,,,,,,,,,,,,
ford motor company,,,,,,"  june 16, 1903","  183,000",james d farley jr,,,,,,,,,,,,,
colgate-palmolive company,,,,,,  1806,"  33,800",noel r wallace,,,,,,,,,,,,,
exelon corporation,,,,,,"  october 20, 2000","  31,518",christopher mark crane,,,,,,,,,,,,,
snowflake inc,,,,,,"  july 23, 2012","  2,495",frank slootman,,,,,,,,,,,,,
oriental land co ltd,,,,,,,"  8,782",toshio kagami,,,,,,,,,,,,,
sk hynix inc,,,,,,,"  29,047",,,,,,,,,,,,,,
ap moller - maersk a-s,,,,,,,"  95,000",soren skou,,,,,,,,,,,,,
shin-etsu chemical co ltd,,,,,,,"  24,629",,,,,,,,,,,,,,
fedex corporation,,,,,,"  may 5, 1971","  384,000",frederick w smith,,,,,,,,,,,,,
boston scientific corporation,,,,,,  1979,"  41,000",michael f mahoney,,,,,,,,,,,,,
pacificorp,,,,,,,"  4,800",william j fehrman,,,,,,,,,,,,,
dassault systemes se,,,,,,,"  20,496",bernard s charles,,,,,,,,,,,,,
