name,headquarters,country,address,founded,employees,ceo,founders,market_cap,share_price,categories,sector,link,type
pt bank central asia tbk,"jakarta,indonesia",indonesia,,," 25,370",,,71910000000,,,financials,,
wal-mart de mexico sab de cv,"mexicocity,df,mexico",mexico,,," 231,259",guilherme de souza macedo loureiro,,71960000000,,,consumer staples,,
freeport-mcmoran inc,"phoenix,az,unitedstates",united states,, 1912," 24,700",richard c adkerson,,72160000000,,,basic materials,,
norfolk southern corporation,"norfolk,va,unitedstates",united states,," july 23, 1980 in norfolk, virginia, united states"," 18,100",james a squires,,72310000000,,,industrials,,
kddi corp,"tokyo,japan",japan,,," 47,320",,,73120000000,,,communication services,,
northrop grumman corporation,"fallschurch,va,unitedstates",united states,, 1994," 88,000",kathy j warden,,73250000000,,,industrials,,
aon plc,"london,unitedkingdom",united kingdom,, 1982," 50,000",gregory clarence case,,73330000000,,,financials,,
bayerische motoren werke ag,"munich,germany",germany,,," 118,909",oliver zipse,,56170000000,,,consumer discretionary,,
bank of communications co ltd,"shanghai,china",china,,," 90,238",,,56380000000,,,financials,,
kla corporation,"milpitas,ca,unitedstates",united states,, 1997," 11,300",richard p wallace,,56480000000,,,technology,,
humana inc,"louisville,ky,unitedstates",united states,," august 18, 1961"," 95,500",bruce dale broussard,,56550000000,,,healthcare,,
tc energy corporation,"calgary,ab,canada",canada,,," 7,017",francois lionel poirier,,56770000000,,,energy,,
the saudi national bank,"riyadh,saudiarabia",saudi arabia,,," 16,113",saeed bin mohammed a al-ghamdi,,56890000000,,,financials,,
ihs markit ltd,"london,unitedkingdom",united kingdom,, 1959," 16,000",,,56940000000,,,industrials,,
pinduoduo inc,"shanghai,china",china,,," 7,986",lei chen,,57090000000,,,consumer discretionary,,
marriott international inc,"bethesda,md,unitedstates",united states,," march 5, 1927"," 120,000",anthony g capuano jr,,57180000000,,,consumer discretionary,,
canadian imperial bank of commerce,"toronto,on,canada",canada,," june 1, 1961"," 46,030",victor g dodig,,57200000000,,,financials,,
mitsubishi corp,"tokyo,japan",japan,,,,takehiko kakiuchi,,57230000000,,,industrials,,
foshan haitian flavouring and food company ltd,"foshan,china",china,,," 6,058",,,57400000000,,,consumer staples,,
enterprise products partners lp,"houston,tx,unitedstates",united states,, 1968," 7,000",a james teague,,57430000000,,,energy,,
itau unibanco holding sa,"saopaulo,sp,brazil",brazil,,," 99,600",milton maluhy filho,,57450000000,,,financials,,
marvell technology inc,"wilmington,de,unitedstates",united states,,," 6,695",matthew j murphy,,57620000000,,,technology,,
schlumberger limited,"houston,tx,unitedstates",united states,, 1926," 92,000",olivier le peuch,,57630000000,,,energy,,
pernod ricard sa,"paris,france",france,,," 18,500",alexan ricard,,57750000000,,,consumer staples,,
air products and chemicals inc,"allentown,pa,unitedstates",united states,, 1940," 20,000",seifollah ghasemi,,57820000000,,,basic materials,,
