name,headquarters,country,continent,region,founded,employees,ceo,market_cap,categories,sector,revenue,link,share_price,founders,address,type
bank of jiangsu,,"nanjing, china",,,2007,,,,,,17,,,,,
dupont de nemours,,"wilmington, delaware",,,2017,,,,,,16,,,,,
gree electric appliances,,"zhuhai, china",,,1991,,,,,,27,,,,,
indian oil,,"new delhi, india",,,1959,,,,,,72,,,,,
dollar general,,"goodlettsville, tennessee",,,1939,,,,,,34,,,,,
kraft heinz company,,"chicago, illinois",,,2015,,,,,,26,,,,,
wilmar international,,"singapore, singapore",,,1991,,,,,,65,,,,,
freddie mac,,"mclean, virginia",,,1970,,,,,,62,,,,,
hewlett packard enterprise,,"spring, texas",,,2015,,,,,,27,,,,,
japan tobacco,,"tokyo, japan",,,1985,,,,,,21,,,,,
poste italiane,,"rome, italy",,,1925,,,,,,37,,,,,
united overseas bank,,"singapore, singapore",,,1935,,,,,,8,,,,,
china unicom,,"victoria, hong kong",,,2000,,,,,,50,,,,,
valero energy,,"san antonio, texas",,,1980,,,,,,114,,,,,
csx,,"jacksonville, florida",,,1827,,,,,,13,,,,,
danske bank,,"copenhagen, denmark",,,1871,,,,,,24,,,,,
fortescue metals group,,"east perth, australia",,,2003,,,,,,20,,,,,
china railway construction,,"beijing, china",,,1948,,,,,,157,,,,,
moderna,,"camebridge, massachusetts",,,2010,,,,,,18,,,,,
woolworths,,"sydney, australia",,,1924,,,,,,38,,,,,
anhui conch cement,,"wuhu city, china",,,1997,,,,,,26,,,,,
adobe,,"san jose, california",,,1982,,,,,,16,,,,,
hartford financial services,,"hartford, connecticut",,,1810,,,,,,22,,,,,
state street,,"boston, massachusetts",,,1792,,,,,,11,,,,,
al rajhi bank,,"riyadh, saudi arabia",,,1957,,,,,,6,,,,,
power construction corporation of china,,"beijing, china",,,2009,,,,,,70,,,,,
shin-etsu chemical,,"tokyo, japan",,,1926,,,,,,17,,,,,
fiserv,,"brookfield, wisconsin",,,1984,,,,,,16,,,,,
regeneron pharmaceuticals,,"tarrytown, new york",,,1988,,,,,,16,,,,,
eneos holdings,,"tokyo, japan",,,2010,,,,,,90,,,,,
tata consultancy services,,"mumbai, india",,,1968,,,,,,25,,,,,
sompo,,"tokyo, japan",,,2010,,,,,,35,,,,,
