name,headquarters,country,continent,region,founded,employees,ceo,market_cap,categories,sector,revenue,link,share_price,founders,address,type
kirchhoff automotive holding gmbh & co kg,iserlohn,,,,1785,"8,584",,,,financial services,,,,,,private
peri-werk artur schworer gmbh & co kg,weienhorn,,,,1969,"9,500",,,,industrial manufacturing,,,,,,private
bpw bergische achsen kg,wiehl,,,,1898,"7,196",,,,automotive,,,,,,private
lur en maritime beteiligungen gmbh & co kg,bremen,,,,1875,"2,676",,,,industrial manufacturing,,,,,,private
grob-werke burkhart grob ek,mindelheim,,,,1926,"6,600",,,,industrial manufacturing,,,,,,private
hochland holding gmbh & co kg,heimenkirch,,,,1927,"4,521",,,,foods and beverages,,,,,,private
zollner elektronik ag,zandt,,,,1965,"11,000",,,,technology,,,,,,private
dohle handelsgruppe holding gmbh & co kg,siegburg,,,,1972,"6,100",,,,consumer products,,,,,,private
heristo holding gmbh,bad rothenfelde,,,,1913,"2,894",,,,foods and beverages,,,,,,private
friedrich boysen holding gmbh,altensteig,,,,1945,"1,667",,,,automotive,,,,,,private
wilo se,dortmund,,,,1872,"7,802",,,,industrial manufacturing,,,,,,private
peek & cloppenburg kg,du eldorf,,,,1901,"12,300",,,,retail,,,,,,private
krieger group,schonefeld,,,,1874,"6,041",,,,retail,,,,,,private
deutsche vermogensberatung holding gmbh,marburg,,,,1975,"3,400",,,,financial services,,,,,,private
fiege logistik holding stiftung & co kg,greven,,,,1873,"12,952",,,,transportation and logistics,,,,,,private
soliver bernd freier gmbh & co kg,rottendorf,,,,1969,"7,120",,,,consumer products,,,,,,private
schauinsland-reisen gmbh,duisburg,,,,1918,430,,,,profe ional services,,,,,,private
senger group gmbh,rheine,,,,1953,"2,700",,,,retail,,,,,,private
grunenthal pharma gmbh & co kg,aachen,,,,1946,"5,471",,,,pharmaceuticals and life sciences,,,,,,private
verlagsgruppe georg von holtzbrinck gmbh,stuttgart,,,,1931,"4,816",,,,media and entertainment,,,,,,private
hafele gmbh & co kg,nagold,,,,1923,"7,600",,,,industrial manufacturing,,,,,,private
leonhard wei gmbh & co kg,satteldorf,,,,1900,"5,107",,,,industrial manufacturing,,,,,,private
trimet se,e en,,,,1985,"1,619",,,,industrial manufacturing,,,,,,private
c thywi en gmbh,neu ,,,,1839,120,,,,foods and beverages,,,,,,private
me er industrie gmbh,bad soden,,,,1897,"5,805",,,,industrial manufacturing,,,,,,private
bitburger holding gmbh,bitburg,,,,1817,"4,346",,,,foods and beverages,,,,,,private
bmv mineralol versorgungsgesellschaft mbh,berlin,,,,1986,130,,,,energy and utilities,,,,,,private
delton ag,bad homburg vor der hohe,,,,1989,"5,383",,,,transportation and logistics,,,,,,private
sto se & co kgaa,stuhlingen,,,,1955,"5,333",,,,industrial manufacturing,,,,,,public
otto krahn gmbh & co kg,hamburg,,,,1909,"1,381",,,,industrial manufacturing,,,,,,private
richter frenzel gmbh co kg,wurzburg,,,,1895,"3,600",,,,industrial manufacturing,,,,,,private
marquardt gmbh,rietheim-weilheim,,,,1925,"11,226",,,,industrial manufacturing,,,,,,private
stulz gmbh,hamburg,,,,1947,"7,182",,,,industrial manufacturing,,,,,,private
rohlig logistics gmbh & co kg,bremen,,,,1852,"2,200",,,,transportation and logistics,,,,,,private
