name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
volvo penta,skovde,,,,,1907,,,,,auto parts,consumer goods,,,,,,,,,
volvo trucks,gothenburg,,,,,1928,,,,,commercial vehicles & trucks,industrials,,,,,,,,,
vsm group,huskvarna,,,,,1872,,,,,durable household products,consumer goods,,,,,,,,,
wallenius lines,stockholm,,,,,1934,,,,,marine transportation,industrials,,,,,,,,,
wasabrod,skelleftea,,,,,1919,,,,,food products,consumer goods,,,,,,,,,
wayne's coffee,stockholm,,,,,1994,,,,,restaurants & bars,consumer services,,,,,,,,,
wesc,stockholm,,,,,1999,,,,,clothing & accessories,consumer goods,,,,,,,,,
wg film,malmo,,,,,1994,,,,,broadcasting & entertainment,consumer services,,,,,,,,,
wm-data,stockholm,,,,,1969,,,,,software,technology,,,,,,,,,
x5 music group,stockholm,,,,,2003,,,,,broadcasting & entertainment,consumer services,,,,,,,,,
3scale,barcelona,,,,,2007,,,,,software,technology,,,,,,,,,
abengoa,seville,,,,,1941,,,,,-,conglomerates,,,,,,,,,
abertis,barcelona,,,,,2003,,,,,-,conglomerates,,,,,,,,,
acciona,alcobendas,,,,,1997,,,,,heavy construction,industrials,,,,,,,,,
acerinox,madrid,,,,,1970,,,,,iron & steel,basic materials,,,,,,,,,
acs group,madrid,,,,,1997,,,,,heavy construction,industrials,,,,,,,,,
afinsa,madrid,,,,,1980,,,,,specialty retailers,consumer services,,,,,,,,,
akamon entertainment,barcelona,,,,,2011,,,,,software,technology,,,,,,,,,
almirall,barcelona,,,,,1943,,,,,pharmaceuticals,health care,,,,,,,,,
amadeus it group,madrid,,,,,1987,,,,,software,technology,,,,,,,,,
astilleros y talleres del noroeste,fene,,,,,1944,,,,,shipbuilding,industrials,,,,,,,,,
atresmedia,san sebastian de los reyes,,,,,1988,,,,,broadcasting & entertainment,consumer services,,,,,,,,,
balay,zaragoza,,,,,1947,,,,,durable household products,consumer goods,,,,,,,,,
banco bilbao vizcaya argentaria,bilbao,,,,,1857,,,,,banks,financials,,,,,,,,,
banco popular espanol,madrid,,,,,1926,,,,,banks,financials,,,,,,,,,
banco sabadell,sabadell,,,,,1881,,,,,banks,financials,,,,,,,,,
banco santander,santander,,,,,1857,,,,,banks,financials,,,,,,,,,
banesto,madrid,,,,,1902,,,,,banks,financials,,,,,,,,,
bankinter,madrid,,,,,1965,,,,,banks,financials,,,,,,,,,
bassols 1790,vic,,,,,1790,,,,,textiles,consumer goods,,,,,,,,,
bolsas y mercados espanoles,madrid,,,,,1831,,,,,banks,financials,,,,,,,,,
brb internacional,alcobendas,,,,,1972,,,,,broadcasting & entertainment,consumer services,,,,,,,,,
budgetplaces,barcelona,,,,,2003,,,,,travel & tourism,consumer services,,,,,,,,,
calidad pascual,madrid,,,,,1969,,,,,food & beverage,consumer goods,,,,,,,,,
catuav,moia,,,,,2007,,,,,aerospace,industrials,,,,,,,,,
chupa chups,barcelona,,,,,1958,,,,,food products,consumer goods,,,,,,,,,
cie automotive,bilbao,,,,,2002,,,,,auto parts,consumer goods,,,,,,,,,
