name,headquarters,country,address,founded,employees,ceo,founders,market_cap,share_price,categories,sector,link,type
ameriprise financial,,"minneapolis, minnesota",,1894,,,,,,,,,
becton dickinson,,"franklin lakes, new jersey",,1897,,,,,,,,,
panasonic,,"osaka, japan",,1918,,,,,,,,,
ms&ad insurance,,"tokyo, japan",,2008,,,,,,,,,
orix,,"tokyo, japan",,1964,,,,,,,,,
citic securities,,"shenzhen, china",,1995,,,,,,,,,
first abu dhabi bank,,"abu dhabi, united arab emirates",,1968,,,,,,,,,
bce,,"verdun, canada",,1970,,,,,,,,,
schlumberger,,"sugar land, texas",,1926,,,,,,,,,
texas instruments,,"dallas, texas",,1930,,,,,,,,,
bank rakyat indonesia bri,,"jakarta, indonesia",,1895,,,,,,,,,
standard chartered,,"london, united kingdom",,1969,,,,,,,,,
crh,,"dublin, ireland",,1970,,,,,,,,,
bank of beijing,,"beijing, china",,1995,,,,,,,,,
paramount,,"norwood, new york",,2019,,,,,,,,,
bank of jiangsu,,"nanjing, china",,2007,,,,,,,,,
dupont de nemours,,"wilmington, delaware",,2017,,,,,,,,,
gree electric appliances,,"zhuhai, china",,1991,,,,,,,,,
indian oil,,"new delhi, india",,1959,,,,,,,,,
dollar general,,"goodlettsville, tennessee",,1939,,,,,,,,,
kraft heinz company,,"chicago, illinois",,2015,,,,,,,,,
wilmar international,,"singapore, singapore",,1991,,,,,,,,,
freddie mac,,"mclean, virginia",,1970,,,,,,,,,
hewlett packard enterprise,,"spring, texas",,2015,,,,,,,,,
japan tobacco,,"tokyo, japan",,1985,,,,,,,,,
poste italiane,,"rome, italy",,1925,,,,,,,,,
united overseas bank,,"singapore, singapore",,1935,,,,,,,,,
china unicom,,"victoria, hong kong",,2000,,,,,,,,,
valero energy,,"san antonio, texas",,1980,,,,,,,,,
csx,,"jacksonville, florida",,1827,,,,,,,,,
danske bank,,"copenhagen, denmark",,1871,,,,,,,,,
fortescue metals group,,"east perth, australia",,2003,,,,,,,,,
china railway construction,,"beijing, china",,1948,,,,,,,,,
moderna,,"camebridge, massachusetts",,2010,,,,,,,,,
woolworths,,"sydney, australia",,1924,,,,,,,,,
anhui conch cement,,"wuhu city, china",,1997,,,,,,,,,
adobe,,"san jose, california",,1982,,,,,,,,,
hartford financial services,,"hartford, connecticut",,1810,,,,,,,,,
state street,,"boston, massachusetts",,1792,,,,,,,,,
al rajhi bank,,"riyadh, saudi arabia",,1957,,,,,,,,,
power construction corporation of china,,"beijing, china",,2009,,,,,,,,,
shin-etsu chemical,,"tokyo, japan",,1926,,,,,,,,,
fiserv,,"brookfield, wisconsin",,1984,,,,,,,,,
regeneron pharmaceuticals,,"tarrytown, new york",,1988,,,,,,,,,
eneos holdings,,"tokyo, japan",,2010,,,,,,,,,
tata consultancy services,,"mumbai, india",,1968,,,,,,,,,
sompo,,"tokyo, japan",,2010,,,,,,,,,
omv group,,"vienna, austria",,1956,,,,,,,,,
swiss life holding,,"zurich, switzerland",,1857,,,,,,,,,
bank of shanghai,,"shanghai, china",,1995,,,,,,,,,
american tower,,"boston, massachusetts",,1995,,,,,,,,,
pioneer natural resources,,"irving, texas",,1997,,,,,,,,,
sun hung kai properties,,"hong kong, hong kong",,1963,,,,,,,,,
wanhua chemical group,,"yantai, china",,1998,,,,,,,,,
sampo,,"helsinki, finland",,1909,,,,,,,,,
china merchants shekou industrial zone holdings,,"shenzhen, china",,,,,,,,,,,
haier smart home,,"shangdong, china",,1984,,,,,,,,,
eaton,,"dublin, ireland",,1911,,,,,,,,,
sk,,"seoul, south korea",,1962,,,,,,,,,
johnson controls international,,"cork, ireland",,1885,,,,,,,,,
jbs,,"vila jaguara, brazil",,1953,,,,,,,,,
saudi telecom,,"riyadh, saudi arabia",,1998,,,,,,,,,
jardine matheson,,"hamilton, bermuda",,1832,,,,,,,,,
canadian national railway,,"montreal, canada",,1832,,,,,,,,,
stryker,,"kalamazoo, michigan",,1941,,,,,,,,,
nokia,,"espoo, finland",,1865,,,,,,,,,
mitsubishi electric,,"tokyo, japan",,1921,,,,,,,,,
nissan motor,,"yokohama, japan",,1933,,,,,,,,,
tata steel,,"mumbai, india",,1907,,,,,,,,,
heineken,,"amsterdam, netherlands",,1864,,,,,,,,,
bae systems,,"farnborough, united kingdom",,1999,,,,,,,,,
etisalat,,"abu dhabi, united arab emirates",,2004,,,,,,,,,
bt group,,"london, united kingdom",,1980,,,,,,,,,
ctbc financial,,"taipei, taiwan",,1966,,,,,,,,,
