name,headquarters,country,continent,region,founded,employees,ceo,market_cap,categories,sector,revenue,link,share_price,founders,address,type
conad nord ovest societa' cooperativa a rl,,,,,,,,,,,,,,,"via bure vecchia nord 10, pistoia, 51100, pistoia, italy",corporation
unicoop firenze soc coop,,,,,,,,,,,,,,,"via santa reparata 43, firenze, 50129, firenze, italy",corporation
spesa intelligente spa,,,,,,,,,,,,,,,"via campalto 3/d, san martino buon albergo, 37036, verona, italy",corporation
banca monte dei paschi di siena spa,,,,,,,,,,,,,,,"piazza salimbeni 3, siena, 53100, siena, italy",corporation
rai radiotelevisione italiana spa,,,,,,,,,,,,,,,"viale giuseppe mazzini 14, roma, 00195, roma, italy",corporation
de la costa srl,,,,,,,,,,,,,,,"via portici umberto i 5/3, malcesine, 37018, verona, italy",corporation
calzedonia holding spa,,,,,,,,,,,,,,,"via monte baldo 20, villafranca di verona, 37062, verona, italy",corporation
eurizon capital sgr spa,,,,,,,,,,,,,,,"piazzetta giordano dell'amore 3, milano, 20121, milano, italy",corporation
finiper canova group spa,,,,,,,,,,,,,,,"via amilcare ponchielli 7, milano, 20129, milano, italy",corporation
bper banca spa,,,,,,,,,,,,,,,"via san carlo 8/20, modena, 41121, modena, italy",corporation
gecos - generale di commercio e servizi spa,,,,,,,,,,,,,,,"via delle industrie 8, spinea, 30038, venezia, italy",corporation
gruppo pam spa,,,,,,,,,,,,,,,"via delle industrie 8, spinea, 30038, venezia, italy",corporation
ibm italia spa,,,,,,,,,,,,,,,"circonvallazione idroscalo snc, segrate, 20054, milano, italy",corporation
brembo spa,,,,,,,,,,,,,,,"viale europa 2, stezzano, 24040, bergamo, italy",corporation
nuova fourb srl,,,,,,,,,,,,,,,"via monte ortigara 5, bergamo, 24121, bergamo, italy",corporation
sky italia srl,,,,,,,,,,,,,,,"via monte penice 7, milano, 20138, milano, italy",corporation
barilla g e r fratelli spa,,,,,,,,,,,,,,,"via mantova 166, parma, 43122, parma, italy",corporation
alitalia societa' aerea italiana spa,,,,,,,,,,,,,,,"via alberto nassetti pal.alfa snc, fiumicino, 00054, roma, italy",corporation
bolton group srl,,,,,,,,,,,,,,,"via giovanni battista pirelli 19, milano, 20124, milano, italy",corporation
factor holding srl,,,,,,,,,,,,,,,"via giovanni battista pirelli 19, milano, 20124, milano, italy",corporation
anas spa,,,,,,,,,,,,,,,"via monzambano 10, roma, 00185, roma, italy",corporation
maire tecnimont spa,,,,,,,,,,,,,,,"via gaetano de castillia 6/a, milano, 20124, milano, italy",corporation
samsung electronics italia spa,,,,,,,,,,,,,,,"via mike bongiorno 9, milano, 20124, milano, italy",corporation
renault italia spa,,,,,,,,,,,,,,,"via tiburtina 1159, roma, 00156, roma, italy",corporation
axa assicurazioni spa,,,,,,,,,,,,,,,"corso como 17, milano, 20154, milano, italy",corporation
mediamarket spa,,,,,,,,,,,,,,,"via furlanelli 69, verano brianza, 20843, monza e brianza, italy",corporation
finarvedi spa,,,,,,,,,,,,,,,"piazza lodi 7, cremona, 26100, cremona, italy",corporation
inalca spa,,,,,,,,,,,,,,,"via spilamberto 30/c, castelvetro di modena, 41014, modena, italy",corporation
banca nazionale del lavoro spa,,,,,,,,,,,,,,,"viale altiero spinelli 30, roma, 00157, roma, italy",corporation
fastweb spa,,,,,,,,,,,,,,,"via francesco caracciolo 51, milano, 20155, milano, italy",corporation
finbre spa,,,,,,,,,,,,,,,"viale del lavoro 20, belfiore, 37050, verona, italy",corporation
maxi di srl,,,,,,,,,,,,,,,"viale del lavoro 20, belfiore, 37050, verona, italy",corporation
swisscom italia srl,,,,,,,,,,,,,,,"piazza adriano olivetti 1, milano, 20139, milano, italy",corporation
zurich investments life spa,,,,,,,,,,,,,,,"via benigno crespi 23, milano, 20159, milano, italy",corporation
arca vita spa,,,,,,,,,,,,,,,"via del fante 21, verona, 37122, verona, italy",corporation
agricola tre valli societa' cooperativa,,,,,,,,,,,,,,,"via valpantena 18/g, verona, 37142, verona, italy",corporation
conad consorzio nazionale dettaglianti soc coop,,,,,,,,,,,,,,,"via michelino 59, bologna, 40127, bologna, italy",corporation
sesa spa,,,,,,,,,,,,,,,"via della piovola 138, empoli, 50053, firenze, italy",corporation
terna rete elettrica nazionale spa,,,,,,,,,,,,,,,"viale egidio galbani 70, roma, 00156, roma, italy",corporation
moncler spa,,,,,,,,,,,,,,,"via enrico stendhal 47, milano, 20144, milano, italy",corporation
