name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
simmons first national,,usa,,,,,,,2890000000.0,,,,,,22.0,,,,,,
sulzer,,switzerland,,,,,,,2890000000.0,engineering manufacturing ,,,,,85.0,,,,,,
vodafone idea,,india,,,,,,,2880000000.0,telecommunication ,,,,,0.0,,,,,,
corporacion financiera alba,,spain,,,,,,,2870000000.0,asset-management investment ,,,,,48.0,,,,,,
flywire,,usa,,,,,,,2870000000.0,financial-services tech ,,,,,26.0,,,,,,
grupo aval,,,,,,,,,2900000000.0,,,,,,2.0,,,,,,
grocery outlet,,usa,,,,,,,2910000000.0,,,,,,29.0,,,,,,
thermax,,india,,,,,,,2900000000.0,engineering ,,,,,24.0,,,,,,
atlas air worldwide holdings,,usa,,,,,,,2880000000.0,airlines travel transportation ,,,,,101.0,,,,,,
kyndryl,,usa,,,,,,,2880000000.0,it-services ,,,,,12.0,,,,,,
first capital reit,,canada,,,,,,,2930000000.0,real-estate investment reit ,,,,,13.0,,,,,,
acerinox,,spain,,,,,,,2910000000.0,steel-producers steel-industry ,,,,,11.0,,,,,,
timken india,,india,,,,,,,2910000000.0,,,,,,38.0,,,,,,
kulicke and soffa industries,,singapore,,,,,,,2920000000.0,semiconductors tech tech-hardware ,,,,,51.0,,,,,,
certara,,usa,,,,,,,2920000000.0,software biotech tech ,,,,,18.0,,,,,,
polymetal,,,,,,,,,2930000000.0,mining gold-mining silver-mining ,,,,,6.0,,,,,,
j&j snack foods,,usa,,,,,,,2920000000.0,food ,,,,,152.0,,,,,,
american eagle outfitters,,usa,,,,,,,2930000000.0,,,,,,15.0,,,,,,
pennon group,,united-kingdom,,,,,,,2930000000.0,utility-companies ,,,,,11.0,,,,,,
westports,,malaysia,,,,,,,2930000000.0,ports ,,,,,0.0,,,,,,
olink holding,,sweden,,,,,,,2930000000.0,pharmaceuticals biotech ,,,,,24.0,,,,,,
shapir civil and marine engineering,,israel,,,,,,,2920000000.0,,,,,,8.0,,,,,,
hensoldt,,germany,,,,,,,2910000000.0,defense-contractors ,,,,,27.0,,,,,,
harmonic drive systems,,japan,,,,,,,2920000000.0,,,,,,30.0,,,,,,
wsfs financial,,usa,,,,,,,2930000000.0,financial-services banks ,,,,,47.0,,,,,,
coforge,,india,,,,,,,2940000000.0,software professional-services ,,,,,48.0,,,,,,
pacific premier bancorp,,usa,,,,,,,2950000000.0,,,,,,31.0,,,,,,
adapthealth,,usa,,,,,,,2950000000.0,,,,,,21.0,,,,,,
o-i glass,,usa,,,,,,,2930000000.0,,,,,,18.0,,,,,,
rubis,,france,,,,,,,2950000000.0,,,,,,28.0,,,,,,
petco,,usa,,,,,,,2940000000.0,retail ,,,,,11.0,,,,,,
installed building products,,usa,,,,,,,2940000000.0,,,,,,102.0,,,,,,
curaleaf,,usa,,,,,,,2930000000.0,cannabis ,,,,,4.0,,,,,,
stepstone group,,usa,,,,,,,2950000000.0,financial-services investment ,,,,,29.0,,,,,,
sumitomo chemical india,,india,,,,,,,2950000000.0,chemicals ,,,,,5.0,,,,,,
immunocore,,united-kingdom,,,,,,,2950000000.0,biotech pharmaceuticals ,,,,,61.0,,,,,,
dycom industries,,usa,,,,,,,2950000000.0,engineering professional-services ,,,,,99.0,,,,,,
cvent,,usa,,,,,,,2930000000.0,software tech ,,,,,6.0,,,,,,
brink's,,usa,,,,,,,2950000000.0,,,,,,63.0,,,,,,
