name,headquarters,country,continent,region,founded,employees,ceo,market_cap,categories,sector,revenue,link,share_price,founders,address,type
associated british foods,,uk,,,,,george g weston,,,consumer defensive,,,,,,
continental ag,,germany,,,,,,,,consumer cyclical,,,,,,
pjsc polyus,,russia,,,,,pavel sergeevich grachev,,,basic materials,,,,,,
telenor asa,,norway,,,,,sigve brekke,,,communication services,,,,,,
segro,,uk,,,,,,,,real estate,,,,,,
ferrovial,,spain,,,,,ignacio madridejos fernandez,,,industries,,,,,,
novozymes a/s,,denmark,,,,,ester baiget,,,healthcare,,,,,,
cnh industrial,,uk,,,,,scott w wine,,,industries,,,,,,
eurofins scientific se,,luxembourg,,,,,gilles g martin,,,healthcare,,,,,,
edp renovaveis,,spain,,,,,,,,utilities,,,,,,
imperial brands,,uk,,,,,stefan bomhard,,,consumer defensive,,,,,,
upm-kymmene oyj,,finland,,,,,jussi pesonen,,,basic materials,,,,,,
nexi,,italy,,,,,paolo bertoluzzo,,,technology,,,,,,
akzo nobel,,netherlands,,,,,thierry vanlancker,,,basic materials,,,,,,
ucb sa,,belgium,,,,,jean-christophe tellier,,,healthcare,,,,,,
tcs group holding,,russia,,,,,oliver hughes,,,financial services,,,,,,
edp - energias de portugal,,portugal,,,,,joao manuel brito martins,,,utilities,,,,,,
standard chartered,,uk,,,,,bill winters,,,financial services,,,,,,
exor,,netherlands,,,,,john elkann,,,financial services,,,,,,
omv group,,austria,,,,,alfred stern,,,energy,,,,,,
cez a s,,czech republic,,,,,daniel benes,,,utilities,,,,,,
erste group bank ag,,austria,,,,,bernhard spalt,,,financial services,,,,,,
swiss life holding ag,,switzerland,,,,,patrick frost,,,financial services,,,,,,
symrise ag,,germany,,,,,heinz-juergen bertram,,,basic materials,,,,,,
asm international nv,,netherlands,,,,,benjamin loh,,,technology,,,,,,
yandex,,russia,,,,,arkady volozh,,,communication services,,,,,,
snam,,italy,,,,,marco alvera,,,utilities,,,,,,
zalando se,,germany,,,,,david schneider,,,consumer cyclical,,,,,,
fresenius medical care ag & co kgaa,,germany,,,,,rice powell,,,healthcare,,,,,,
moncler,,italy,,,,,remo ruffini,,,consumer cyclical,,,,,,
thales,,france,,,,,patrice caine,,,industries,,,,,,
jde peet's nv,,netherlands,,,,,fabien simon,,,consumer defensive,,,,,,
croda international,,uk,,,,,steve foots,,,basic materials,,,,,,
siemens energy,,germany,,,,,christian bruch,,,engineering products,,,,,,
surgutneftegas,,russia,,,,,vladimir bogdanov,,,energy,,,,,,
wpp plc,,uk,,,,,mark read,,,communication services,,,,,,
vantage towers ag,,germany,,,,,vivek badrinath,,,industries,,,,,,
repsol,,spain,,,,,josu jon imaz,,,energy,,,,,,
antofagasta,,uk,,,,,ivan arriagada,,,basic materials,,,,,,
pao severstal,,russia,,,,,aleksanshevelev,,,basic materials,,,,,,
puma se,,germany,,,,,bjorn gulden,,,consumer cyclical,,,,,,
carl zeiss meditec ag,,germany,,,,,markus weber,,,healthcare,,,,,,
publicis groupe,,france,,,,,arthur sadoun,,,communication services,,,,,,
nn group,,netherlands,,,,,david knibbe,,,financial services,,,,,,
poste italiane spa,,italy,,,,,matteo del fante,,,industries,,,,,,
cnp assurances sa,,france,,,,,stephane dedeyan,,,financial services,,,,,,
novolipetsk steel,,russia,,,,,grigory vitalevich fedorishin,,,basic materials,,,,,,
uniper se,,germany,,,,,klaus-dieter maubach,,,utilities,,,,,,
adevinta asa,,norway,,,,,rolv erik ryssdal,,,communication services,,,,,,
groupe bruxelles lambert sa,,belgium,,,,,ian gallienne,,,financial services,,,,,,
aercap holdings,,ireland,,,,,aengus kelly,,,industries,,,,,,
amundi,,france,,,,,valerie baudson,,,financial services,,,,,,
james hardie industries,,ireland,,,,,jack truong,,,basic materials,,,,,,
alfa laval ab publ,,sweden,,,,,tom erixon,,,industries,,,,,,
norsk hyasa,,norway,,,,,hilde merete aasheim,,,basic materials,,,,,,
tryg a/s,,denmark,,,,,morten hubbe,,,financial services,,,,,,
worldline,,france,,,,,gilles grapinet,,,technology,,,,,,
argenx se,,netherlands,,,,,tim hauwermeiren,,,healthcare,,,,,,
knorr-bremse,,germany,,,,,jan michael mrosik,,,consumer cyclical,,,,,,
carrefour sa,,france,,,,,,,,consumer defensive,,,,,,
bollore,,france,,,,,,,,communication services,,,,,,
sofina societe anonyme,,belgium,,,,,harold boel,,,financial services,,,,,,
ocado group,,uk,,,,,tim steiner,,,consumer defensive,,,,,,
telia company ab publ,,sweden,,,,,allison kirkby,,,communication services,,,,,,
smith & nephew,,uk,,,,,roland diggelmann,,,healthcare,,,,,,
clarivate plc,,uk,,,,,jerre stead,,,technology,,,,,,
terna spa,,italy,,,,,stefano antonio donnarumma,,,utilities,,,,,,
atlantia,,italy,,,,,carlo bertazzo,,,industries,,,,,,
halma,,uk,,,,,andrew williams,,,industries,,,,,,
siemens gamesa renewable energy,,spain,,,,,andreas nauen,,,industries,,,,,,
davide campari-milano,,italy,,,,,robert kunze-concewitz,,,consumer defensive,,,,,,
evonik industries ag,,germany,,,,,christian kullmann,,,basic materials,,,,,,
danske bank a/s,,denmark,,,,,carsten rasch egeriis,,,financial services,,,,,,
transneft,,russia,,,,,,,,energy,,,,,,
biomerieux,,france,,,,,alexanmerieux,,,healthcare,,,,,,
