rank,company,revenues_2018_$m,employees,family_ownership,founded,public/private,generation,family_executive,woman_in_leadership,sector,headquarters,state_(abbreviation),website
91,aton gmbh,"2,758.7","18,678",helmig,1969,private,2,no,no,financial services,munchen,by,www.aton.de
92,neumann group,"2,700.0","2,000",neumann,1934,private,4,yes,no,foods and beverages,hamburg,hh,www.nkg.net
93,friedhelm loh stiftung & co kg,"2,667.0","11,500",loh,1961,private,2,yes,no,industrial manufacturing,haiger,he,www.friedhelm-loh-gruppe.de
94,avag holding se,"2,640.4","5,200",still,1915,private,4,yes,no,retail,augsburg,by,www.avag.eu
95,skion gmbh aka altana ...,"2,585.9","6,323",klatten,1873,private,5,no,no,industrial manufacturing,wesel,nw,www.altana.com
96,muhr und bender kg,"2,565.5","13,000",muhr,1916,private,3,yes,no,automotive,attendorn,nw,www.mubea.com
97,phoenix contact gmbh & co kg,"2,554.4","16,500",eisert,1923,private,3,no,no,industrial manufacturing,blomberg,nw,www.phoenixcontact.de
98,ebm-papst group,"2,538.3","15,000","sturm, philippiak, ziehl",1963,private,2,no,no,profe ional services,mulfingen,bw,www.ebmpapst.com
99,cronimet holding gmbh,"2,527.1","1,578",pillarsky,1980,private,2,yes,yes,industrial manufacturing,karlsruhe,bw,www.cronimet.de
100,ew group gmbh,"2,526.0","10,373",wesjohann,1932,private,3,yes,no,pharmaceuticals and life sciences,visbek,ni,www.ew-group.de
101,ksb se & co kgaa,"2,525.2","15,713",kuhborth,1871,public,5,no,no,industrial manufacturing,frankenthal,rp,www.ksb.com
102,vie mann werke gmbh & co kg,"2,520.9","12,100",vie mann,1917,private,4,yes,no,industrial manufacturing,allendorf,he,www.vie mann.com
103,giesecke & devrient gmbh,"2,517.1","11,389",von mitschke-collande,1852,private,6,no,no,profe ional services,munchen,by,www.gi-de.com
104,bernard krone holding gmbh & co kg,"2,495.0","4,558",krone,1906,private,4,yes,no,industrial manufacturing,spelle,ni,www.krone.de
105,schmitz cargobull ag,"2,491.2","6,400","schmitz, hoffmann",1892,private,7,yes,no,industrial manufacturing,horstmar,nw,www.cargobull.com
106,haribo holding gmbh & co kg,"2,461.6","7,000",riegel,1920,private,3,yes,no,foods and beverages,grafschaft,rp,www.haribo.com
107,rochling se & co kg,"2,450.8","10,929",rochling,1822,private,6,no,no,industrial manufacturing,mannheim,bw,www.roechling.com
108,hartmann group,"2,427.5","10,616","schleicher, hartmann",1818,public,7,no,no,healthcare,heidenheim,bw,www.hartmann.info
109,allegro invest se aka fre napf ...,"2,403.3","12,300",toeller,1990,private,1,no,no,financial services,krefeld,nw,www.fre napf.com
110,aveco holding ag aka wisag facility service holding gmbh,"2,339.1","49,703",wi er,1965,private,2,yes,no,profe ional services,frankfurt am main,he,www.aveco.de
111,rohde & schwarz gmbh & co kg,"2,335.7","11,500","rohde, schwarz",1933,private,3,yes,no,technology,munchen,by,www.rohde-schwarz.de
112,georgsmarienhutte holding gmbh,"2,324.8","6,830",gro mann,1856,private,1,no,no,industrial manufacturing,georgsmarienhutte,ni,www.gmh.de
113,hager se,"2,296.0","11,500",hager,1955,private,3,yes,no,industrial manufacturing,blieskastel,sl,www.hagergroup.com
114,nagel logistik-holding gmbh & co kg,"2,289.9","12,600",nagel,1935,private,3,yes,yes,transportation and logistics,versmold,nw,www.nagel-group.com
115,diersch & schroder gmbh & co kg,"2,273.7",400,karstedt,1920,private,4,no,no,industrial manufacturing,bremen,hb,www.ds-bremen.de
116,kruger gmbh & co kg,"2,267.0","4,800","kruger, pfeifer and langen",1971,private,2,yes,no,foods and beverages,bergisch gladbach,nw,www.krueger.de
