name,code,rank,ceo,country,sector,industry,headquarters,employees,founded,marketcap,revenue,net_income,link
the pnc financial services group inc,pnc,190,william s demchak,united states,financials,banks,"pittsburgh, pa, united states","57,668","april 10, 1845",77100000000,16329000000,5725000000,"https://www.pnc.com, https://www.facebook.com/pncbank, https://twitter.com/pncnews, https://www.linkedin.com/company/pnc-bank, https://en.wikipedia.org/wiki/pnc financial services"
lam research corporation,lrcx,189,timothy m archer,united states,technology,semiconductor equipment & materials,"fremont, ca, united states","16,300",1980,77600000000,14630000000,3910000000,"https://www.lamresearch.com, https://www.facebook.com/lamresearchcorporation, https://twitter.com/lamresearch, https://www.linkedin.com/company/lam-research/, https://en.wikipedia.org/wiki/lam research"
the southern company,so,188,thomas a fanning,united states,utilities,utilitiesregulated electric,"atlanta, ga, united states","27,027",1945,78380000000,23500000000,2230000000,"https://www.southerncompany.com, https://www.facebook.com/socompany, https://twitter.com/southerncompany, https://www.linkedin.com/company/southern-company, https://en.wikipedia.org/wiki/southern company"
china petroleum & chemical corporation,600028,187,,china,energy,oil & gas integrated,"beijing, china","384,065","beijing, china 25 february 2000",78390000000,"cn2,124,901 million (us$314.4 billion) (2017)","cn70,294 million (2017)","https://www.sinopec.com, https://en.wikipedia.org/wiki/sinopec"
china yangtze power co ltd,600900,186,,china,utilities,utilitiesindependent power producers,"beijing, china","3,985",,78420000000,,,https://www.cypc.com.cn
kering sa,ker,185,franaois-henri pinault,france,consumer discretionary,luxury goods,"paris, france","42,811",,78660000000,,,https://www.kering.com
general motors company,gm,250,mary t barra,united states,consumer discretionary,auto manufacturers,"detroit, mi, united states","157,000","september 16, 1908",62690000000,122485000000,6427000000,"https://www.gm.com, https://www.facebook.com/generalmotors, https://twitter.com/gm, https://www.linkedin.com/company/1472, https://en.wikipedia.org/wiki/general motors"
metlife inc,met,249,michel abbas khalaf,united states,financials,insurancelife,"new york, ny, united states","49,000","march 24, 1868",62690000000,"us$67.842 billion (fiscal year ended december 31, 2020)","us$5.407 billion (fiscal year ended december 31, 2020)","https://www.metlife.com, https://www.facebook.com/metlife, https://twitter.com/metlife, https://www.linkedin.com/company/metlife/, https://en.wikipedia.org/wiki/metlife"
dassault systemes se,dsy,248,bernard s charles,france,technology,softwareapplication,"velizy-villacoublay, france","20,496",,62750000000,,,https://www.3ds.com
pacificorp,ppwlm,247,william j fehrman,united states,utilities,utilitiesdiversified,"portland, or, united states","4,800",,62870000000,,,https://www.pacificorp.com
boston scientific corporation,bsx,246,michael f mahoney,united states,healthcare,medical devices,,"41,000",1979,63080000000,"us$9.913 billion (fiscal year ended december 31, 2020)","us$0.082 billion (fiscal year ended december 31, 2020)","https://www.bostonscientific.com, https://www.facebook.com/bostonscientific, https://twitter.com/bostonsci, https://www.linkedin.com/company/boston-scientific/, https://en.wikipedia.org/wiki/boston scientific"
fedex corporation,fdx,245,frederick w smith,united states,industrials,integrated freight & logistics,"memphis, tn, united states","384,000","may 5, 1971",63250000000,83959000000,5231000000,"https://www.fedex.com, https://en.wikipedia.org/wiki/fedex"
shin-etsu chemical co ltd,4063,244,,japan,basic materials,chemicals,"tokyo, japan","24,629",,63430000000,,,https://www.shinetsu.co.jp
ap moller - maersk a-s,maersk.b,243,soren skou,denmark,industrials,marine shipping,"copenhagen, denmark","95,000",,64400000000,,,https://www.maersk.com
sk hynix inc,000660,242,,south korea,technology,semiconductors,"icheon-si, south korea","29,047",,64599999999,,,https://www.skhynix.com
oriental land co ltd,4661,241,toshio kagami,japan,consumer discretionary,leisure,"urayasu, japan","8,782",,64660000000,,,https://www.olc.co.jp
snowflake inc,snow,240,frank slootman,united states,technology,softwareapplication,"san mateo, ca, united states","2,495","july 23, 2012",65040000000,1219000000,us$680 million (2022),"https://www.snowflake.com, https://www.facebook.com/snowflake-inc-709171695819345/, https://twitter.com/snowflakedb, https://www.linkedin.com/company/snowflake-computing/, https://en.wikipedia.org/wiki/snowflake inc."
exelon corporation,exc,239,christopher mark crane,united states,utilities,utilitiesdiversified,"chicago, il, united states","31,518","october 20, 2000",65530000000,33039000000,1954000000,"https://www.exeloncorp.com, https://twitter.com/exelon, https://www.linkedin.com/company/exelon, https://en.wikipedia.org/wiki/exelon"
colgate-palmolive company,cl,238,noel r wallace,united states,consumer staples,household & personal products,"new york, ny, united states","33,800",1806,65640000000,15693000000,2527000000,"https://www.colgatepalmolive.com, https://www.facebook.com/colgate, https://twitter.com/colgate, https://www.linkedin.com/company/colgate-palmolive, https://en.wikipedia.org/wiki/colgate palmolive"
ford motor company,f,237,james d farley jr,united states,consumer discretionary,auto manufacturers,"dearborn, mi, united states","183,000","june 16, 1903",65739999999,"us$136.341 billion (fiscal year ended december 31, 2021)","us$17.937 billion (fiscal year ended december 31, 2021)","https://www.ford.com, https://twitter.com/fordcredit, https://en.wikipedia.org/wiki/ford"
newmont corporation,nem,236,thomas ronald palmer,united states,basic materials,gold,"denver, co, united states","14,400",1921,65890000000,11487000000,,"https://www.newmont.com, https://en.wikipedia.org/wiki/newmont corporation"
equinix inc reit,eqix,235,charles j meyers,united states,real estate,reitspecialty,"redwood city, ca, united states","10,944",1998,66349999999,5998000000,370000000,"https://www.equinix.com, https://www.facebook.com/equinix, https://twitter.com/equinix, https://www.linkedin.com/company/equinix, https://en.wikipedia.org/wiki/equinix"
macquarie group limited,mqg,300,shemara r wikramanayake bcom llb llb bcom unsw,australia,financials,capital markets,"sydney, nsw, australia","17,209",1969,55990000000,,a$3.015 billion (2021),"https://www.macquarie.com, https://www.facebook.com/macquariegroup/, https://twitter.com/macquarie, https://www.linkedin.com/company/macquariegroup/, https://en.wikipedia.org/wiki/macquarie group"
bayerische motoren werke ag,bmwb,299,oliver zipse,germany,consumer discretionary,auto manufacturers,"munich, germany","118,909",,56170000000,,,https://www.bmwgroup.com
bank of communications co ltd,601328,298,,china,financials,banks,"shanghai, china","90,238",,56380000000,,,https://www.bankcomm.com
kla corporation,klac,297,richard p wallace,united states,technology,semiconductor equipment & materials,"milpitas, ca, united states","11,300",1997,56480000000,6918000000,2077999999,"https://www.kla.com, https://en.wikipedia.org/wiki/kla corporation"
