name,address,nation,hhid,industry,sic_code,type,est_of_ownership
unicoop firenze soc coop,"via santa reparata 43, firenze, 50129, firenze, italy",it00407780485,h-it0027424928,"finance, insurance, and real estate",real property lessor  6519 ,corporation,1891
spesa intelligente spa,"via campalto 3/d, san martino buon albergo, 37036, verona, italy",it02416840235,h-it0069606331,wholesale trade,whol groceries  5149 ,corporation,1992
banca monte dei paschi di siena spa,"piazza salimbeni 3, siena, 53100, siena, italy",it00884060526,h-it0028646150,"finance, insurance, and real estate",national commercial bank  6021 ,corporation,1472
rai radiotelevisione italiana spa,"viale giuseppe mazzini 14, roma, 00195, roma, italy",it06382641006,h-it0052507467,"transportation, communications, electric, gas, and sanitary services",television station  4833 ,corporation,2001
de la costa srl,"via portici umberto i 5/3, malcesine, 37018, verona, italy",it04579370232,h-it0062449729,"finance, insurance, and real estate",holding company  6719 ,corporation,2018
calzedonia holding spa,"via monte baldo 20, villafranca di verona, 37062, verona, italy",it03742500238,h-it0002216302,"finance, insurance, and real estate",holding company  6719 ,corporation,2008
eurizon capital sgr spa,"piazzetta giordano dell'amore 3, milano, 20121, milano, italy",it12914730150,h-it0036432156,"finance, insurance, and real estate",investment advisory service  6282 ,corporation,1983
finiper canova group spa,"via amilcare ponchielli 7, milano, 20129, milano, italy",it06154870965,h-it0004175387,"finance, insurance, and real estate",holding company  6719 ,corporation,2008
bper banca spa,"via san carlo 8/20, modena, 41121, modena, italy",it01153230360,h-it0051823365,"finance, insurance, and real estate",national commercial bank  6021 ,corporation,1867
gecos - generale di commercio e servizi spa,"via delle industrie 8, spinea, 30038, venezia, italy",it01581890272,h-it0034418431,"finance, insurance, and real estate",holding company  6719 ,corporation,1958
gruppo pam spa,"via delle industrie 8, spinea, 30038, venezia, italy",it01534730278,h-it0000168572,wholesale trade,whol general groceries  5141 ,corporation,1980
ibm italia spa,"circonvallazione idroscalo snc, segrate, 20054, milano, italy",it10914660153,h-it0070576246,services,custom computer programming  7371 ,corporation,1927
brembo spa,"viale europa 2, stezzano, 24040, bergamo, italy",it00222620163,h-it0014781409,manufacturing,mfg motor vehicle parts/accessories  3714 ,corporation,1971
nuova fourb srl,"via monte ortigara 5, bergamo, 24121, bergamo, italy",it03165690169,h-it0002214997,"finance, insurance, and real estate",holding company  6719 ,corporation,2004
sky italia srl,"via monte penice 7, milano, 20138, milano, italy",it04619241005,h-it0071659145,"transportation, communications, electric, gas, and sanitary services",television station  4833 ,corporation,1993
barilla g e r fratelli spa,"via mantova 166, parma, 43122, parma, italy",it01654010345,h-it0049411330,manufacturing,mfg macaroni/spaghetti  2098 ,corporation,1988
alitalia societa' aerea italiana spa,"via alberto nassetti pal.alfa snc, fiumicino, 00054, roma, italy",it13029381004,h-it0043242537,"transportation, communications, electric, gas, and sanitary services",scheduled air transportation  4512 ,corporation,1999
bolton group srl,"via giovanni battista pirelli 19, milano, 20124, milano, italy",it05983890152,h-it0068385552,services,business services  7389 ,corporation,1980
factor holding srl,"via giovanni battista pirelli 19, milano, 20124, milano, italy",it07224860960,h-it0020453108,"finance, insurance, and real estate",holding company  6719 ,corporation,2010
anas spa,"via monzambano 10, roma, 00185, roma, italy",it02133681003,h-it0049402331,"transportation, communications, electric, gas, and sanitary services",transportation services  4789 ,corporation,1950
maire tecnimont spa,"via gaetano de castillia 6/a, milano, 20124, milano, italy",it07673571001,h-it0074296558,"finance, insurance, and real estate",holding company  6719 ,corporation,2003
samsung electronics italia spa,"via mike bongiorno 9, milano, 20124, milano, italy",it11325690151,h-it0065500911,wholesale trade,whol appliances/tv/radio  5064 ,corporation,1991
renault italia spa,"via tiburtina 1159, roma, 00156, roma, italy",it05811161008,h-it0011169516,retail trade,ret new/used automobiles  5511 ,corporation,1962
axa assicurazioni spa,"corso como 17, milano, 20154, milano, italy",it00902170018,h-it0010264795,"finance, insurance, and real estate",life insurance carrier  6311 ,corporation,1947
