name,industry,sector,headquarters,founded
nederlandse spoorwegen,industrials,railroads,utrecht,1938
nipparts,consumer goods,auto parts,amsterdam,1981
nutricia,consumer goods,food products,amsterdam,1896
nuon energy,utilities,multiutilities,amsterdam,1995
nxp semiconductors,technology,semiconductors,eindhoven,1953
oce,technology,electronic office equipment,venlo,1877
perfetti van melle,consumer goods,food products,lainate,2001
philips,consumer goods,consumer electronics,eindhoven,1891
postnl,industrials,delivery services,the hague,1998
prosus,technology,consumer digital services,amsterdam,2019
q-park,consumer services,parking,maastricht,1998
rabobank,financials,banks,utrecht,1972
randstad holding,industrials,business support services,diemen,1960
royal bam group,industrials,heavy construction,bunnik,1869
royal boskalis westminster,industrials,heavy construction,papendrecht,1910
royal imtech nv,industrials,electrical components & equipment,gouda,1860
royal schiphol group,industrials,transportation services,schiphol,1916
royal van oord,industrials,heavy construction,rotterdam,1868
sbm offshore,oil & gas,oil equipment & services,schiedam,1965
serpent model racing cars,consumer goods,recreational products,heemstede,1980
shv holdings,industrials,diversified industrials,utrecht,1896
spar,consumer goods,food retailers & wholesalers,amsterdam,1932
spyker cars,consumer goods,automobiles,zeewolde,1999
stork bv,industrials,aerospace,naarden,1868
talpa network,consumer services,broadcasting & entertainment,hilversum,2004
tele2 netherlands,telecommunications,fixed line telecommunications,amsterdam,1993
telfort,telecommunications,mobile telecommunications,alphen aan den rijn,1997
thales nederland,industrials,defence & electronics,hengelo,1922
tmf group,industrials,financial administration,amsterdam,1988
tnt express,industrials,delivery services,hoofddorp,2011
tomtom,technology,software,amsterdam,1991
tony's chocolonely,consumer goods,food products,amsterdam,2005
transavia,consumer services,airlines,schiphol-oost,1965
triodos bank,financials,banks,zeist,1980
trust,technology,computer hardware,dordrecht,1981
tui fly netherlands,consumer services,airlines,schiphol-rijk,2005
vanguard dutch marine,consumer goods,recreational products,heerenveen,2008
vdl bus & coach,industrials,commercial vehicles & trucks,valkenswaard,1993
vdl nedcar,consumer goods,automobile,born,1967
vedior,industrials,business training & employment agencies,amsterdam,1998
veon,telecommunications,mobile telecommunications,amsterdam,2009
verenigde nederlandse uitgeverijen,consumer services,publishing,haarlem,1964
vitol,energy,"oil, gas & coal",rotterdam,1966
vodafone netherlands,telecommunications,mobile telecommunications,maastricht,1995
volkerwessels,industrials,heavy construction,amersfoort,1854
wavin,industrials,building materials & fixtures,zwolle,1955
we,consumer goods,apparel retailers,utrecht,1917
wercker,technology,software,amsterdam,2011
wolters kluwer,industrials,business support services,alphen aan den rijn,1836
zeeman,consumer goods,apparel retailers,alphen aan den rijn,1967
air malta,consumer services,airlines,luqa,1973
aps bank,financials,banks,swatar,1910
bank of valletta,financials,banks,santa venera,1974
central bank of malta,financials,banks,valletta,1968
emmanuel delicata,consumer goods,distillers & vintners,valletta,1907
go,telecommunications,fixed line telecommunications,marsa,1997
hsbc bank malta,financials,banks,valletta,1882
lombard bank,financials,banks,valletta,1969
maltapost,industrials,delivery services,marsa,1998
medavia,consumer services,airlines,luqa,1978
medialink communications,consumer services,publishing,pieta,unknown
melita,telecommunications,fixed line telecommunications,birkirkara,1992
multilotto,consumer services,gambling,st julian's,2012
one productions,consumer services,broadcasting & entertainment,marsa,1994
simonds farsons cisk,consumer goods,brewers,birkirkara,1928
unibet,consumer services,gambling,gzira,1997
epic,telecommunications,mobile telecommunications,luqa,1989
advanzia bank,financials,banks,munsbach,2005
arcelor,basic materials,iron & steel,luxembourg city,2002
arcelormittal,basic materials,iron & steel,luxembourg city,2006
artec 3d,technology,technology hardware & equipment,luxembourg city,2007
banque de luxembourg,financials,banks,luxembourg city,1920
banque et caisse d'epargne de l'etat,financials,banks,luxembourg city,1856
banque raiffeisen,financials,banks,leudelange,1926
bgl bnp paribas,financials,banks,luxembourg city,1919
bip investment partners,financials,investment services,luxembourg city,2000
brasserie nationale,consumer goods,brewers,bascharage,1975
cactus,consumer services,food retailers & wholesalers,bereldange,1900
cargolux,industrials,delivery services,sandweiler,1970
creos luxembourg,utilities,multiutilities,strassen,2009
central bank of luxembourg,financials,banks,luxembourg city,1998
centre hospitalier de luxembourg,health care,health care providers,luxembourg city,1975
ceratizit,industrials,diversified industrials,mamer,2002
cipriani sa,consumer services,restaurants & bars,luxembourg city,1931
cvc capital partners,financials,asset managers,luxembourg city,1981
editpress,consumer services,publishing,luxembourg city,1913
foyer sa,financials,full line insurance,luxembourg city,1922
general mediterranean holding,conglomerates,-,luxembourg city,1979
genii capital,financials,specialty finance,howald,2008
gold & wood,consumer goods,personal products,luxembourg city,1995
kbl european private bankers,financials,banks,luxembourg city,1949
kulczyk investments,financials,investment services,luxembourg city,2007
lionair,consumer services,airlines,luxembourg city,1988
luvanis,consumer goods,clothing & accessories,luxembourg city,2009
luxair,consumer services,airlines,sandweiler,1962
luxanimation,consumer services,broadcasting & entertainment,doncols,2002
luxembourg stock exchange,financials,investment services,luxembourg city,1928
luxempart,financials,investment services,leudelange,1988
melusine,consumer services,broadcasting & entertainment,howald,1997
mousel,consumer goods,brewers,luxembourg city,1511
orco,financials,real estate holding & development,capellen,1991
p&tluxembourg,telecommunications,fixed line telecommunications,luxembourg city,1992
radio luxembourg,consumer services,broadcasting & entertainment,luxembourg city,1933
regus,industrials,business support services,luxembourg city,1989
reinet investments,financials,investment services,luxembourg city,2008
rotarex,industrials,industrial machinery,lintgen,1922
rtl group,consumer services,broadcasting & entertainment,kirchberg,1920
saint-paul luxembourg,consumer services,publishing,luxembourg city,1848
ses sa,telecommunications,mobile telecommunications,betzdorf,1985
societe nationale de credit et d'investissement,financials,banks,luxembourg city,1978
societe nationale des chemins de fer luxembourgeois,industrials,railroads,luxembourg city,1946
strategic airlines luxembourg,consumer services,airlines,luxembourg city,2010
streamworks international,consumer services,broadcasting & entertainment,luxembourg city,2006
techniques d'avant garde,consumer services,airlines,luxembourg city,1977
utopia group,consumer services,recreational services,luxembourg city,2002
west air luxembourg,industrials,delivery services,bertrange,2002
achema,basic materials,specialty chemicals,jonava,1962
alita,consumer goods,brewers,alytus,1963
apranga,consumer services,apparel retailers,vilnius,1993
aurela,consumer services,airlines,vilnius,1996
avia solutions group,industrials,transportation services,vilnius,2010
aviaam leasing,industrials,transportation services,vilnius,2007
aviavilsa,industrials,delivery services,vilnius,1999
avion express,consumer services,airlines,vilnius,2005
baltija shipbuilding yard,industrials,commercial vehicles & trucks,klaipeda,1952
baltik vairas,consumer goods,recreational products,siauliai,1993
cili,consumer services,restaurants & bars,vilnius,1997
dot lt,consumer services,airlines,karmelava,2003
dvarcioniu keramika,industrials,building materials & fixtures,vilnius,1888
ekspla,industrials,electronic equipment,vilnius,1983
gubernija,consumer goods,brewers,siauliai,1665
kalnapilis,consumer goods,brewers,panevezys,1902
lietuvos dujos,utilities,gas distribution,vilnius,1961
lietuvos energija,utilities,conventional electricity,vilnius,1997
lietuvos pastas,consumer services,delivery services,vilnius,1918
maxima group,consumer services,broadline retailers,vilnius,1992
small planet airlines,consumer services,airlines,vilnius,2007
stumbras,consumer goods,distillers & vintners,kaunas,1906
tauras,consumer goods,brewers,vilnius,1860
teo lt,telecommunications,fixed line telecommunications,vilnius,1992
ukio bankas,financials,banks,kaunas,1989
vilniaus prekyba,consumer services,broadline retailers,vilnius,1992
volfas engelman,consumer goods,brewers,kaunas,1853
zia valda,financials,investment services,vilnius,1997
ablv bank,financials,banks,riga,1993
aerodium latvia,industrials,industrial machinery,sigulda,2004
airbaltic,consumer services,airlines,riga,1995
ave line,industrials,marine transportation,riga,2000
baltic coal terminal,industrials,transportation services,ventspils,2005
banka baltija,financials,banks,riga,1993
bank of latvia,financials,banks,riga,1992
bellaccord electro,consumer services,broadcasting & entertainment,riga,1931
cesu alus,consumer goods,brewers,cesis,1590
citadele banka,financials,banks,riga,2010
dartz,consumer goods,automobiles,riga,2008
double coffee,consumer services,restaurants & bars,riga,2002
elko grupa,consumer goods,consumer electronics,riga,1993
ford-vairogs,consumer goods,automobiles,riga,1936
forticom,technology,software,riga,1999
grindeks,health care,pharmaceuticals,riga,1991
inversija,industrials,delivery services,riga,1991
just5,telecommunications,telecommunications equipment,riga,2008
laima,consumer goods,food products,riga,1870
lattelecom,telecommunications,fixed line telecommunications,riga,1992
latvenergo,utilities,conventional electricity,riga,1958
latvian mobile telephone,telecommunications,mobile telecommunications,riga,1992
latvian shipping company,industrials,marine transportation,riga,1940
latvijas balzams,consumer goods,soft drinks,riga,1997
latvijas gaze,oil & gas,exploration & production,riga,1991
latvijas krajbanka,financials,banks,riga,1924
latvijas pasts,logistics,delivery services,riga,1992
microphone records,consumer services,broadcasting & entertainment,riga,1993
norvik banka,financials,banks,riga,1992
olainfarm,health care,pharmaceuticals,olaine,1972
parex bank,financials,banks,riga,1992
privatbank latvia,financials,banks,riga,2007
raf-avia,consumer services,airlines,riga,1990
rietumu banka,financials,banks,riga,1992
riga autobus factory,consumer goods,automobiles,riga,1949
rimi baltic,consumer services,food retailers & wholesalers,riga,2004
russo-balt,consumer goods,automobiles,riga,1874
saf tehnika,technology,telecommunications equipment,riga,1999
seb unibanka,financials,banks,riga,1993
sereal,consumer goods,recreational products,riga,2011
smartlynx airlines,consumer services,airlines,marupe,1993
vef,consumer goods,consumer electronics,riga,1919
a&g management consulting,industrials,business support services,turin,1988
a2a,utilities,multiutilities,brescia,2008
abarth,consumer goods,automobiles,turin,1949
abon plastic,industrials,containers & packaging,gornate-olona,1973
aermacchi,industrials,aerospace,varese,1912
agip,oil & gas,oil & gas refining & marketing,rome,1926
agustawestland,industrials,aerospace & defense,rome,2000
agv,consumer goods,auto parts,alessandria,1946
air dolomiti,consumer services,airlines,villafranca di verona,1991
air one,consumer services,airlines,fiumicino,1983
alan,consumer goods,recreational products,veggiano,1972
alenia aermacchi,industrials,aerospace,venegono superiore,2012
alenia aeronautica,industrials,aerospace,rome,1990
alessi,consumer goods,durable household products,omegna,1921
alfa romeo,consumer goods,automobiles,turin,1910
alitalia,consumer services,airlines,fiumicino,1999
alleanza assicurazioni,financials,life insurance,milan,1898
alpinestars,consumer goods,clothing & accessories,asolo,1963
andrea moda,consumer goods,clothing & accessories,morrovalle,1985
angelini,health care,pharmaceuticals,rome,1919
anonima petroli italiana,oil & gas,petroleum products,rome,1933
ansaldo energia,utilities,conventional electricity,genoa,1853
ansaldo sts,industrials,railroads,genoa,2006
aprilia,consumer goods,automobiles,noale,1945
arflex,consumer goods,furnishings,milan,1947
armani,consumer goods,clothing & accessories,milan,1975
arnoldo mondadori editore,consumer services,publishing,segrate,1907
artemide,consumer goods,furnishings,pregnana milanese,1960
assicurazioni generali,financials,full line insurance,trieste,1831
atala,consumer goods,recreational products,monza,1921
autobianchi,consumer goods,automobiles,milan,1995
autogrill,consumer services,food retailers & wholesalers,rozzano,1947
avio,industrials,aerospace & defense,rome,1908
azimut yachts,industrials,shipbuilding,turin,1969
b engineering,consumer goods,automobiles,campogalliano,2000
b&b italia,consumer goods,furnishings,novedrate,1966
baldinini,consumer goods,footwear,san mauro pascoli,1910
banca carige,financials,banks,genoa,1483
banca monte dei paschi di siena,financials,banks,siena,1472
banca nazionale del lavoro,financials,banks,rome,1913
banca popolare di milano,financials,banks,milan,1865
banco popolare,financials,banks,verona,2007
bandini automobili,consumer goods,automobiles,forli,1946
barilla group,consumer goods,food products,parma,1877
basso bikes,consumer goods,recreational products,san ze  degli ezzelini,1977
benelli armi spa,industrials,defense,urbino,1967
benelli,consumer goods,automobiles,pesaro,1911
benetti,industrials,shipbuilding,viareggio,1873
benetton group,consumer goods,clothing & accessories,ponzano veneto,1965
bennet,consumer services,food retailers & wholesalers,montano lucino,1964
beretta,industrials,defense,brescia,1526
bertolli,consumer goods,food products,lucca,1865
beta,consumer goods,automobiles,rignano sull'arno,1904
bettanin & venturi,consumer goods,footwear,vigasio,1994
bianchi,consumer goods,recreational products,milan,1885
bimota,consumer goods,automobiles,rimini,1973
birel,consumer goods,automobiles,lissone,1958
birra amarcord,consumer goods,brewers,rimini,1997
birra ichnusa,consumer goods,brewers,assemini,1912
birra menabrea,consumer goods,brewers,biella,1846
birra moretti,consumer goods,brewers,udine,1859
birrificio angelo poretti,consumer goods,brewers,induno olona,1877
bizzarrini,consumer goods,automobiles,livorno,1964
blue panorama airlines,consumer services,airlines,fiumicino,1998
blufin,consumer goods,clothing & accessories,carpi,1977
bompiani,consumer services,publishing,milan,1929
bontempi,consumer goods,recreational products,potenza picena,1937
bontoni,consumer goods,footwear,montegranaro,2004
borrani,consumer goods,tires,milan,1922
borsalino,consumer goods,clothing & accessories,alessandria,1857
bottecchia,consumer goods,recreational products,cavarzere,1924
bottega veneta,consumer goods,clothing & accessories,vicenza,1966
b-p battioni e pagani spa,industrials,commercial vehicles & trucks,parma,1959
braccialini,consumer goods,clothing & accessories,florence,1954
bracco group,health care,pharmaceuticals,milan,1927
breda,industrials,industrial engineering,brescia,1886
brembo,consumer goods,auto parts,stezzano,1961
brioni,consumer goods,clothing & accessories,rome,1945
brionvega,consumer goods,consumer electronics,porde ,1945
brondi,consumer goods,consumer electronics,turin,1935
brunello cucinelli,consumer goods,clothing & accessories,perugia,1978
bruno magli,consumer goods,footwear,bologna,1936
buitoni,consumer goods,food products,sansepolcro,1827
bulgari,consumer goods,clothing & accessories,rome,1884
buzzi unicem,industrials,building materials & fixtures,casale monferrato,1999
cai second,consumer services,airlines,fiumicino,2006
cagiva,consumer goods,automobiles,varese,1978
caltagirone editore,consumer services,publishing,rome,1999
calzaturificio fratelli soldini,consumer goods,footwear,capolona,1945
cambiocasa,financials,real estate holding & development,milan,1995
campagnolo,consumer goods,recreational products,vicenza,1933
campari group,consumer goods,beverages,milan,1860
canali,consumer goods,clothing & accessories,sovico,1934
candy,consumer goods,durable household products,brugherio,1945
caraceni,consumer goods,clothing & accessories,rome,1913
carpigiani,consumer goods,durable household products,bologna,1944
carrera sunglasses,consumer goods,clothing & accessories,padua,1956
carrozzeria boneschi,industrials,commercial vehicles & trucks,milan,1919
carrozzeria castagna,industrials,commercial vehicles & trucks,milan,1849
carrozzeria ghia,industrials,commercial vehicles & trucks,turin,1916
carrozzeria marazzi,industrials,commercial vehicles & trucks,milan,1967
carrozzeria scaglietti,industrials,commercial vehicles & trucks,modena,1951
carrozzeria touring,industrials,commercial vehicles & trucks,milan,1926
casa ricordi,consumer services,publishing,milan,1808
cassina spa,consumer goods,furnishings,meda,1927
castagnari,consumer goods,recreational products,recanati,1914
chicco,consumer goods,toys,como,1958
chiesi farmaceutici spa,health care,pharmaceuticals,parma,1935
cinelli,consumer goods,recreational products,milan,1948
cinzano,consumer goods,distillers & vintners,turin,1757
cirio,consumer goods,food products,san lazzaro di savena,1856
class editori,consumer services,publishing,milan,1986
colnago,consumer goods,recreational products,cambiago,1952
colotti trasmissioni,consumer goods,auto parts,modena,1958
columbus,consumer goods,recreational products,settala,1919
comau,industrials,industrial machinery,turin,1973
comus spa,consumer goods,recreational products,ancona,
comvert srl,consumer goods,clothing & accessories,milan,1994
conad,consumer services,food retailers & wholesalers,bologna,1962
coop,consumer services,food retailers & wholesalers,casalecchio di reno,1967
coppola industria alimentare,consumer goods,food products,mercato san severino,1952
corneliani,consumer goods,clothing & accessories,mantua,1958
costa crociere,consumer services,travel & tourism,genoa,1854
crumar,consumer goods,recreational products,castelfidardo,1971
dainese,consumer goods,auto parts,molvena,1972
dallara,consumer goods,automobiles,varano de' melegari,1972
damiani,consumer goods,clothing & accessories,valenza,1924
danieli,industrials,industrial machinery,buttrio,1914
dario pegoretti,consumer goods,recreational products,caldonazzo,1956
de agostini,consumer services,publishing,novara,1901
de cecco,consumer goods,food products,fara san martino,1886
de rosa,consumer goods,recreational products,milan,1953
de tomaso,consumer goods,automobiles,modena,1959
dell'orto,consumer goods,auto parts,cabiate,1933
delonghi,consumer goods,durable household products,treviso,1902
design42day,consumer services,publishing,milan,2007
di blasi industriale,consumer goods,recreational products,francofonte,1952
diadora,consumer goods,footwear,caerano di san marco,1948
diesel,consumer goods,clothing & accessories,breganze,1978
dolce & gabbana,consumer goods,clothing & accessories,milan,1985
motor company,consumer goods,automobiles,macchia d'isernia,2006
ducati,consumer goods,automobiles,bologna,1926
ducati energia,industrials,electronic & electrical equipment,bologna,1926
durst,technology,electronic & electrical equipment,brixen,1936
edison,utilities,multiutilities,milan,1884
edoardo raffinerie garrone,utilities,alternative electricity,genoa,1938
eko guitars,consumer goods,recreational products,recanati,1959
ellesse,consumer goods,clothing & accessories,perugia,1959
e marinella,consumer goods,clothing & accessories,naples,1914
enel,utilities,multiutilities,rome,1962
energica motor company,consumer goods,automobiles,modena,2010
eni,oil & gas,integrated oil & gas,rome,1953
ermenegildo zegna,consumer goods,clothing & accessories,milan,1910
errea,consumer goods,clothing & accessories,torrile,1988
esselunga,consumer services,food retailers & wholesalers,milan,1957
etro,consumer goods,clothing & accessories,milan,1968
eurofly,consumer services,airlines,milan,1989
fabbrica ligure automobili genova,consumer goods,automobiles,genoa,1905
fratelli fabbri editori,consumer services,publishing,milan,1947
fabbri group,consumer goods,recreational products,calto,1950
facchini group,consumer goods,food products,cormano,1959
faema,consumer goods,durable household products,milan,1945
falck group,basic materials,iron & steel,sesto san giovanni,1906
famars,industrials,defense,gardone val trompia,1967
fantic motor,consumer goods,automobiles,barzago,1968
farfisa,consumer goods,recreational products,osimo,1946
fazioli,consumer goods,recreational products,sacile,1981
fedrigoni,basic materials,paper,verona,1888
feltrinelli,consumer services,publishing,milan,1954
fendi,consumer goods,clothing & accessories,rome,1925
ferrari,consumer goods,automobiles,maranello,1939
ferrero spa,consumer goods,food products,alba,1946
ferretti group,industrials,shipbuilding,forli,1968
ferrovie dello stato italiane,consumer services,travel & tourism,rome,1905
fiat,consumer goods,automobiles,turin,1899
fincantieri,industrials,shipbuilding,trieste,1959
fiocchi munizioni,industrials,defense,lecco,1876
fioravanti,consumer goods,automobiles,turin,1987
fondiaria-sai,financials,property & casualty insurance,turin,2002
fondmetal,consumer goods,tires,bergamo,1972
fornasari,consumer goods,automobiles,vicenza,1999
forst,consumer goods,brewers,algund,1857
franchi,industrials,defense,brescia,1987
frera,consumer goods,automobiles,milan,1905
frette,consumer goods,clothing & accessories,monza,1860
fulcrum wheels,consumer goods,recreational products,arcugnano,2004
fulgor,consumer goods,durable household products,gallarate,1949
furla,consumer goods,clothing & accessories,bologna,1927
gaggia,consumer goods,durable household products,milan,1947
gancia,consumer goods,distillers & vintners,canelli,1850
gardaland,consumer services,recreational services,castelnuovo del garda,1975
garelli motorcycles,consumer goods,automobiles,milan,1919
garlando,consumer goods,recreational products,novi ligure,1954
gde bertoni,consumer goods,recreational products,milan,1938
gedi gruppo editoriale,consumer services,publishing,rome,1955
geox,consumer goods,clothing & accessories,montebelluna,1995
ghezzi & brian,consumer goods,automobiles,missaglia,1995
gilera,consumer goods,automobiles,pontedera,1909
gio ansaldo & c,industrials,aerospace,genoa,1853
givova,consumer goods,clothing & accessories,scafati,2008
golden goose,consumer goods,clothing & accessories,venice,2000
graziano trasmissioni,consumer goods,auto parts,turin,1951
grimaldi group,transport & tourism,consumer services,palermo,1947
grivel,consumer goods,recreational products,courmayeur,1818
gruppo bertone,consumer goods,automobiles,milan,1912
gruppo riva,basic materials,iron & steel,milan,1954
gruppo tim,telecommunications,mobile telecommunications,rome,1994
gucci,consumer goods,clothing & accessories,florence,1921
guerciotti,consumer goods,recreational products,milan,1964
gufram,consumer goods,furnishings,cuneo,1966
hera group,utilities,multiutilities,bologna,2002
hitachi rail italy,industrials,commercial rail vehicles,naples,2001
idea institute,consumer goods,automobiles,turin,1978
illy,consumer goods,beverages,trieste,1933
