rank,name,in_2021_ranking,in_2020_ranking,country,sector,absolute_growth_rate_%,compound_annual_growth_rate_(cagr)_%,revenue_2020_(),revenue_2017_(),number_of_employees_2020,number_of_employees_2017,founding_year
728,esyen,no,no,italy,technology,220.60,47.45,"3,868,940","1,206,770",25,9,2011
729,sav-eco packaging ltd,no,no,uk,industrial goods,220.27,47.40,"16,923,940","5,322,238",165,104,2014
730,elmar mair tiefbau,no,no,germany,construction,219.98,47.36,"2,302,685","719,638",19,8,2016
731,atlas innovative engineering,no,no,spain,energy,219.37,47.26,"3,495,981","1,094,666",15,12,2014
732,secure-ic,no,no,france,technology,219.33,47.26,"6,934,182","2,171,492",76,48,2010
733,datalyo,no,no,france,technology,218.82,47.18,"3,544,255","1,111,687",36,16,2014
734,signify technology,no,no,uk,management consulting,218.78,47.17,"2,547,992","805,029",29,14,2016
735,boxt,no,no,uk,ecommerce,218.69,47.16,"38,373,430","12,127,395",59,20,2017
736,james and james fulfilment,no,no,uk,ecommerce,218.67,47.16,"30,887,883","9,762,332",158,55,2010
737,armonie,no,no,italy,food & beverage,218.66,47.16,"2,803,150","879,670",9,5,2014
738,maverick group,no,no,italy,technology,217.27,46.94,"5,313,290","1,674,690",5,1,2017
739,brainpull,no,no,italy,advertising,217.21,46.93,"4,264,120","1,344,240",29,10,2012
740,wiseband,no,no,france,media,217.08,46.91,"1,636,674","516,164",15,4,2014
741,groupe ezdo la boulangerie des gourmets,yes,no,france,agricultural commodities,216.91,46.89,"40,777,823","12,867,410",15,4,2013
742,pakar service,yes,no,poland,support services,216.15,46.77,"9,729,642","3,363,800",396,257,2010
743,bio-uv,no,no,france,industrial goods,216.03,46.75,"32,175,000","10,181,000",117,62,2000
744,fg service,no,no,italy,construction,215.54,46.67,"2,554,140","809,450",14,2,2015
745,allways logistics system,yes,no,italy,transport,215.48,46.66,"9,569,120","3,033,150",125,2,2012
746,matsmart,yes,yes,sweden,ecommerce,215.40,46.65,"49,576,899","16,075,963",164,75,2013
747,autargo,no,no,germany,construction,215.35,46.64,"1,807,173","573,070",5,2,2016
748,brewshopno,yes,no,norway,food & beverage,215.26,46.63,"4,392,988","1,484,883",9,7,2015
749,visualitics,no,no,italy,technology,215.24,46.63,"2,131,000","676,000",15,3,2016
750,hifi extra,no,no,germany,retail,215.10,46.61,"49,190,436","15,610,826",32,14,2016
751,ankerkraut,yes,yes,germany,food & beverage,214.45,46.50,"26,010,474","8,271,702",150,70,2013
752,gda,no,no,italy,fashion,213.62,46.37,"20,745,690","6,615,000",205,98,2008
753,nexid,no,no,italy,technology,213.53,46.36,"2,696,270","859,960",25,9,2006
754,gs studio & service,no,no,italy,energy,213.26,46.32,"2,087,000","666,210",16,7,2013
755,neosperience,no,no,italy,technology,213.00,46.28,"16,367,000","5,229,000",160,60,2006
756,lunos,no,no,slovenia,technology,212.89,46.26,"6,356,404","2,031,522",16,11,2010
