name,master_cap,country,industry,sector
victoria plc,1370000000,united kingdom,"furnishings, fixtures & appliances",consumer discretionary
murray income trust plc,1360000000,united kingdom,asset management,financials
moneysupermarketcom group plc,1360000000,united kingdom,internet content & information,communication services
centamin plc,1360000000,united kingdom,gold,basic materials
vectura group plc,"(oct. 1, 2021)",united kingdom,drug manufacturersgeneral,healthcare
gb group plc,1350000000,united kingdom,softwareapplication,technology
supermarket income reit plc,1350000000,united kingdom,reitretail,real estate
currys plc,1340000000,united kingdom,specialty retail,consumer discretionary
immunocore holdings plc,1340000000,united kingdom,biotechnology,healthcare
apax global alpha limited,1330000000,united kingdom,asset management,financials
premier foods plc,1330000000,united kingdom,packaged foods,consumer staples
thg plc,1330000000,united kingdom,specialty retail,consumer discretionary
hilton food group plc,1320000000,united kingdom,packaged foods,consumer staples
jd wetherspoon plc,1310000000,united kingdom,restaurants,consumer discretionary
biffa plc,1290000000,united kingdom,waste management,industrials
gcp student living plc,"(dec. 1, 2021)",united kingdom,asset management,financials
gcp infrastructure investments,1290000000,united kingdom,asset management,financials
ti fluid systeplc,1280000000,united kingdom,auto parts,consumer discretionary
merian chrysalis investment co ltd,1280000000,united kingdom,asset management,financials
spire healthcare group plc,1270000000,united kingdom,medical care facilities,healthcare
essentra plc,1260000000,united kingdom,specialty chemicals,basic materials
law debenture corporation plc,1260000000,united kingdom,asset management,financials
clipper logistics plc,1240000000,united kingdom,integrated freight & logistics,industrials
ip group plc,1240000000,united kingdom,asset management,financials
vesuvius plc,1220000000,united kingdom,steel,basic materials
st modwen properties plc,"(march 13, 2021)",united kingdom,real estatedevelopment,real estate
stolt-nielsen ltd,1220000000,united kingdom,marine shipping,industrials
european opportunities trust plc,"(jan. 1, 2022)",united kingdom,asset management,financials
lxi reit,1210000000,united kingdom,reitdiversified,real estate
bmo commercial property trust,1210000000,united kingdom,asset management,financials
bb healthcare trust plc,1190000000,united kingdom,asset management,financials
just group plc,1180000000,united kingdom,insurancespecialty,financials
schroder asiapacific fund plc,1180000000,united kingdom,asset management,financials
sumo group plc,"(jan. 1, 2022)",united kingdom,electronic gaming & multimedia,communication services
myovant sciences ltd,1180000000,united kingdom,biotechnology,healthcare
morgan advanced materials plc,1180000000,united kingdom,specialty industrial machinery,industrials
