industry,founded,revenue,name,location
construction,2009,70,power construction corporation of china,"beijing, china"
chemicals,1926,17,shin-etsu chemical,"tokyo, japan"
business services & supplies,1984,16,fiserv,"brookfield, wisconsin"
drugs & biotechnology,1988,16,regeneron pharmaceuticals,"tarrytown, new york"
oil & gas operations,2010,90,eneos holdings,"tokyo, japan"
it software & services,1968,25,tata consultancy services,"mumbai, india"
insurance,2010,35,sompo,"tokyo, japan"
oil & gas operations,1956,42,omv group,"vienna, austria"
insurance,1857,23,swiss life holding,"zurich, switzerland"
banking,1995,15,bank of shanghai,"shanghai, china"
"telecommunications services, cable supplier",1995,9,american tower,"boston, massachusetts"
oil & gas operations,1997,17,pioneer natural resources,"irving, texas"
construction,1963,10,sun hung kai properties,"hong kong, hong kong"
chemicals,1998,22,wanhua chemical group,"yantai, china"
insurance,1909,15,sampo,"helsinki, finland"
construction,,23,china merchants shekou industrial zone holdings,"shenzhen, china"
consumer durables,1984,35,haier smart home,"shangdong, china"
capital goods,1911,19,eaton,"dublin, ireland"
oil & gas operations,1962,85,sk,"seoul, south korea"
business services & supplies,1885,24,johnson controls international,"cork, ireland"
"food, drink & tobacco",1953,65,jbs,"vila jaguara, brazil"
telecommunications services,1998,16,saudi telecom,"riyadh, saudi arabia"
conglomerates,1832,35,jardine matheson,"hamilton, bermuda"
transportation,1832,11,canadian national railway,"montreal, canada"
health care equipment & services,1941,17,stryker,"kalamazoo, michigan"
"telecommunications services, cable supplier",1865,26,nokia,"espoo, finland"
capital goods,1921,40,mitsubishi electric,"tokyo, japan"
consumer durables,1933,79,nissan motor,"yokohama, japan"
materials,1907,31,tata steel,"mumbai, india"
"food, drink & tobacco",1864,25,heineken,"amsterdam, netherlands"
aerospace & defense,1999,26,bae systems,"farnborough, united kingdom"
telecommunications services,2004,14,etisalat,"abu dhabi, united arab emirates"
"telecommunications services, cable supplier",1980,28,bt group,"london, united kingdom"
banking,1966,14,ctbc financial,"taipei, taiwan"
oil & gas operations,1994,15,novatek,"moscow, russia"
construction,,84,greenland holdings group,"shanghai, china"
utilities,1898,29,rwe group,"essen, germany"
"engineering, manufacturing",1924,26,daikin industries,"osaka, japan"
insurance,1844,26,aegon,"the hague, netherlands"
it software & services,2000,19,baidu,"beijing, china"
technology hardware & equipment,1876,27,ericsson,"stockholm, sweden"
business services & supplies,1937,32,canon,"tokyo, japan"
construction,1954,28,lennar,"miami, florida"
banking,1996,12,bank of nanjing,"nanjing, china"
health care equipment & services,1891,20,philips,"amsterdam, netherlands"
"food, drink & tobacco",2018,12,keurig pepper,"plano, texas"
utilities,2002,8,china yangtze power,"beijing, china"
banking,2003,7,dnb bank,"oslo, norway"
capital goods,1890,18,emerson electric,"st. louis, missouri"
"food, drink & tobacco",1901,22,imperial brands,"bristol, united kingdom"
aerospace & defense,1916,62,boeing,"arlington, virginia"
"food, soft beverages, alcohol & tobacco",1866,18,general mills,"minneapolis, minnesota"
banking,1993,11,axis bank,"mumbai, india"
banking and financial services,1979,9,national bank of canada,"montreal, canada"
media & advertising,1946,17,the estee lauder companies,"new york, new york"
capital goods,1996,33,cnh industrial,"london, united kingdom"
insurance,1951,23,fairfax financial,"toronto, canada"
"clothing, shoes, sports equipment",1949,25,adidas,"herzogenaurach, germany"
automotive  automotive and suppliers ,1889,28,michelin group,"clermont-ferrand, france"
transportation,1883,11,norfolk southern,"atlanta, georgia"
banking and financial services,1879,14,principal financial group,"des moines, iowa"
oil & gas operations,1998,13,sempra,"san diego, california"
utilities,1998,132,fortum,"espoo, finland"
materials,1942,14,grupo mexico,"mexico city, mexico"
construction,1978,28,dr horton,"arlington, texas"
aerospace & defense,2019,17,l3harris technologies,"melbourne, florida"
media,1915,7,naspers,"cape town, south africa"
banking,1862,15,standard bank group,"johannesburg, south africa"
oil & gas operations,1951,10,tc energy,"calgary, canada"
materials,1993,17,norilsk nickel,"moscow, russia"
oil & gas operations,1843,26,naturgy energy group,"barcelona, spain"
household & personal products,1876,23,henkel,"dusseldorf, germany"
semiconductors,1997,17,mediatek,"hsinchu, taiwan"
business services & supplies,1960,24,recruit holdings,"tokyo, japan"
capital goods,1999,30,hengli petrochemical,"dalian, china"
utilities,1909,13,xcel energy,"minneapolis, minnesota"
chemicals,2019,15,corteva,"wilmington, delaware"
business services & supplies,2003,11,synchrony financial,"stamford, connecticut"
trading companies,1948,69,toyota tsusho,"nagoya, japan"
consumer durables,1926,23,toyota industries,"kariya, japan"
drugs & biotechnology,1999,38,astrazeneca,"cambridge, united kingdom"
construction,2003,38,sunac china holdings,"tianjin, china"
construction,2006,70,china evergrande group,"shenzhen, china"
consumer durables,1931,29,bridgestone,"tokyo, japan"
banking,1963,8,emirates nbd,"dubai, united arab emirates"
construction,1947,38,daiwa house industry,"osaka, japan"
retailing,1998,147,jdcom,"beijing, china"
"construction, oil & gas operations, mining and chemicals",1997,16,kinder morgan,"houston, texas"
construction,2005,42,china national building,"beijing, china"
diversified financials,1966,10,firstrand,"johannesburg, south africa"
retail and wholesale,1959,87,carrefour,"massy, france"
technology hardware & equipment,1935,32,fujitsu,"tokyo, japan"
banking,1972,7,seb ab,"stockholm, sweden"
oil & gas operations,1990,19,surgutneftegas,"surgut, russia"
insurance,1996,34,new china life insurance,"beijing, china"
materials,1983,11,barrick gold,"toronto, canada"
transportation,1976,29,dsv panalpina,"hedehusene, denmark"
insurance,1990,51,talanx,"hannover, germany"
"telecommunications services, cable supplier",1984,53,vodafone,"berkshire, united kingdom"
consumer durables,1889,15,nintendo,"kyoto, japan"
banking,2005,13,hana financial group,"seoul, south korea"
capital goods,1977,36,hyundai mobis,"seoul, south korea"
utilities,1975,17,ntpc,"new delhi, india"
banking and financial services,1960,9,maybank,"kuala lumpur, malaysia"
diversified financials,1898,4,cme group,"chicago, illinois"
utilities,2005,12,taqa,"abu dhabi, united arab emirates"
"food, soft beverages, alcohol & tobacco",1975,11,pernod ricard,"paris, france"
banking,1824,9,bank mandiri,"jakarta, indonesia"
"food, drink & tobacco",1890,27,femsa,"monterrey , mexico"
automotive  automotive and suppliers ,1972,23,paccar,"bellevue, washington"
utilities,1823,13,consolidated edison,"new york, new york"
construction,1941,18,mitsui fudosan,"tokyo, japan"
transportation,,17,evergreen marine corp taiwan,"taipei, taiwan"
capital goods,1921,24,komatsu,"tokyo, japan"
materials,2008,22,shaanxi coal industry,"xi'an, china"
technology hardware & equipment,1984,70,lenovo group,"quarry bay, hong kong"
retailing,1963,19,fast retailing,"yamaguchi, japan"
diversified financials,1802,9,london stock exchange,"london, united kingdom"
construction,1998,6,vonovia,"bochum, germany"
insurance,2000,45,aviva,"london, united kingdom"
