link,name,country,industry,revenue,employees,founded
https://www.donatella.de/,donatella,germany,food & beverage,8,10,2014
http://www.futureplaygames.com/,futureplay,finland,games industry,10,26,2015
https://www.sparksystems.sg/,spark systems,singapore,fintech,1,49,2016
https://www.e42.ai/,e42 formerly nlpbots,india,technology,1,37,2012
https://airx.co.jp/,airx,japan,aerospace & defence,1,9,2015
https://www.facebook.com/princeducation/,prince education,singapore,education,1,8,2008
https://www.hivery.com/,hivery,australia,technology,3,33,2015
https://www.333sanmishopping.com/,sanmi,japan,restaurants,2,7,2015
https://www.lgm-immobilier.fr/,lgm immobilier,france,property,"2,549,778",11,2016
https://www.wolframchain.nl/,wolfram chain,the netherlands,management consulting,"2,431,371",29,2017
http://www.nisa.services,nisa gebaudeservice,germany,construction,"4,329,710",220,2015
https://www.velocity.black,velocity mobile,uk,technology,"8,214,698",52,2014
https://www.perkbox.com,perkbox,united kingdom,technology,40,161,2010
https://www.jobandtalent.com/,jobandtalent,spain,technology,137,302,2008
https://junglecreations.com/,jungle creations,united kingdom,media,18,135,2014
https://sqreemtech.com/,sqreem technologies,singapore,technology,5,175,2010
http://www.cogen.com.tw/,taiwan cogeneration corporation,taiwan,energy,314,296,1992
http://www.astrocorp.com.tw/,astro group,taiwan,games industry,11,170,1989
https://www.partners-re.co.jp/,partners,japan,property,40,70,2011
https://www.mwcc.jp/,microwave chemical,japan,chemicals,9,48,2007
https://techforceservices.com.au/,techforce services,australia,technology,2,21,2015
https://www.rightnow.de/,rightnow,germany,technology,"8,951,132",38,2017
https://www.eocharging.com/,eo charging,uk,technology,"17,158,962",63,2014
http://www.lmmlogistics.com,lmm logistics,italy,transport,"11,509,009",5,2015
https://www.kolinpharma.com,kolinpharma,italy,pharmaceuticals,4,22,2013
https://www.sinob.de/,sinob,germany,retail,4,14,2015
http://www.arconkor.com/,arcontek co ltd,south korea,industrial goods,1,11,2017
https://www.ad-i.com/,ad intelligence,south korea,advertising,1,25,2015
https://so-labo.co.jp/,solabo,japan,management consulting,4,50,2015
https://coringmalaysia.com/,sonicon construction,malaysia,construction,1,26,2016
https://www.inglewood.co.jp/,inglewood,japan,ecommerce,102,140,2005
https://www.paidy.com/,paidy,japan,fintech,12,131,2008
https://chetariffa.it/,chetariffait,italy,support services,"2,495,860",9,2013
http://www.gustavogusto.com,franco fresco,germany,food & beverage,"31,334,340",202,2016
https://www.anytech365.com,anteco systems,spain,technology,5,190,2014
https://www.global-e.com/,global-e online,united kingdom,ecommerce,37,179,2013
http://www.artience.co.kr/,artience,south korea,support services,12,78,2009
https://www.vahdamteas.com/,vahdam india,india,food & beverage,21,400,2015
https://www.increff.com/,increff,india,technology,4,113,2016
https://www.cscloud.co.jp/,cyber security cloud,japan,cyber security,7,30,2010
https://www.ga-tech.co.jp/en/,ga technologies,japan,property,355,314,2013
http://www.superoxjapan.com/,superox japan,japan,industrial goods,4,18,2011
https://simply.finance/,simply,uk,financial services,"16,483,836",90,2017
https://www.salaryfinance.com/uk/,salary finance,uk,fintech,"8,593,220",187,2015
https://www.gellify.com,gellify,italy,technology,"3,548,132",41,2016
https://www.kavera.de,kavera elektrotechnik,germany,technology,"3,374,120",70,2016
https://www.tooploox.com,tooploox,poland,technology,4,104,2012
https://www.danjohn.it/,rinah,italy,retail,19,5,2015
https://www.zealdigital.com.au/,zeal digital,australia,advertising,2,60,2015
https://www.homage.sg/,homage co,singapore,health,5,120,2016
https://www.postype.com/,postype,south korea,media,2,19,2016
https://www.hoec.com/,hoec,india,energy,25,100,1983
https://www.isprava.com/,isprava,india,construction,7,116,2016
https://www.dbt.se/,dbt,sweden,fintech,"3,837,994",10,2017
https://www.mg-project.com,mg project,italy,telecoms,"8,036,749",34,2016
https://www.musement.com/it,musement,italy,travel & leisure,8,67,2013
https://www.domator24.com/,domator24com,poland,personal & household goods,18,40,2004
https://company.shuuumatu-worker.jp/,shuumatsu worker,japan,support services,8,40,2016
https://www.myrewardsinternational.com/,my rewards,australia,technology,10,11,2000
https://nj-enex.co.jp/,nj-enex,japan,retail,18,45,2015
https://grain.com.sg/,grain,singapore,food & beverage,9,155,2014
https://www.indiabullsventures.com/,indiabulls ventures,india,financial services,413,,1995
https://www.dipongroup.com/,dipon group,india,construction,2,19,2008
https://pl.tutlo.com/,tutlo,poland,education,"7,778,203",140,2016
https://www.ponera.fr/,ponera,france,ecommerce,"25,901,607",27,2013
https://www.grover.com,grover group,germany,ecommerce,"14,934,485",103,2015
https://www.spotawheel.com,spotawheel,greece,automobiles,"10,335,899",86,2015
https://www.druck-media-service.com,dms,germany,media,14,18,2013
https://www.uplink-network.de/,uplink network,germany,telecoms,20,29,2013
https://www.trouva.com/,trouva,united kingdom,technology,11,80,2015
https://www.logi-spot.com/,logispot,south korea,transport,32,85,2016
https://www.spacecloud.kr/,spacecloud,south korea,property,2,22,2013
https://www.mycle.co.kr/,macarong factory,south korea,automobiles,1,20,2015
https://www.kinaracapital.com/,kinara capital,india,financial services,31,1235,2011
,cb ltd,japan,management consulting,9,10,2015
https://www.calleo.com.au/,calleo,australia,support services,19,170,2015
https://www.active-energy.gr/,active energy solutions,greece,energy,"13,312,033",2,2014
https://www.lehibou.com,le hibou,france,technology,"7,758,091",28,2016
https://www.oneretailgroup.com,one retail group,united kingdom,ecommerce,16,12,2014
https://www.sta-portage.com/,sta portage h2s,france,support services,18,237,2012
https://softwarehut.com/,softwarehut,poland,technology,4,200,2015
https://www.zairyo.com.sg/,zairyo,singapore,ecommerce,2,10,2014
https://kuji-ra.com/,kujiraterrace,japan,architecture,3,3,2017
https://gsc-corp.jp/,gsc,japan,construction,4,26,2014
https://www.pkshatech.com/,pksha technology,japan,technology,28,240,2012
